"","player_id","year","aces","serves"
"2",100644,"2024",NA,NA
"3",100644,"2017",NA,NA
"4",100644,"2013",1,39
"6",100644,"2019",NA,NA
"10",100644,"2018",NA,NA
"11",100644,"2017",208,2000
"12",100644,"2020",335,2437
"13",100644,"2014",16,288
"14",100644,"2022",238,2189
"17",100644,"2023",476,4396
"18",100644,"2016",153,2238
"22",101404,"1994",NA,NA
"25",101404,"1996",NA,NA
"26",101404,"1986",NA,NA
"27",101404,"1991",36,2172
"28",101404,"1990",NA,NA
"30",101404,"1991",NA,NA
"32",101404,"1998",46,1511
"34",101404,"1997",NA,NA
"36",101404,"2010",5,66
"37",101404,"1993",NA,NA
"38",101404,"1985",NA,NA
"42",101404,"1987",NA,NA
"44",101662,"1988",NA,NA
"46",101662,"2006",NA,NA
"49",101662,"1991",NA,NA
"52",101736,"1992",NA,NA
"55",101736,"2000",NA,NA
"57",101736,"1988",NA,NA
"58",101736,"1987",NA,NA
"65",101736,"1996",NA,NA
"67",101736,"1995",44,932
"70",101736,"1994",NA,NA
"71",101736,"1997",NA,NA
"74",101736,"2006",58,687
"75",101736,"2001",NA,NA
"77",101736,"2006",104,968
"82",101736,"1989",NA,NA
"84",101779,"1988",NA,NA
"86",101779,"1994",2,54
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"1997",30,361
"91",101868,"2004",56,509
"93",101868,"2005",24,141
"94",101868,"2003",102,647
"96",101868,"1995",78,527
"101",101868,"1996",NA,NA
"104",101868,"1992",9,82
"106",101868,"2003",35,221
"108",101868,"2002",46,484
"112",101868,"2001",5,64
"113",101868,"2007",NA,NA
"116",101885,"1999",174,1122
"121",101885,"1996",13,136
"124",101885,"2003",267,1809
"125",101885,"1998",76,376
"128",101885,"2001",317,1609
"129",101885,"2006",NA,NA
"130",101885,"2002",NA,NA
"131",101885,"2003",NA,NA
"133",101889,"1990",NA,NA
"135",101889,"2004",NA,NA
"136",101889,"1994",45,1572
"139",101889,"1993",36,1747
"146",101889,"1989",NA,NA
"152",101889,"2001",31,392
"155",101889,"1997",NA,NA
"164",101962,"2001",NA,NA
"167",101962,"2008",NA,NA
"170",101962,"1995",NA,NA
"172",101962,"1998",32,255
"176",101962,"2007",NA,NA
"183",101962,"2000",NA,NA
"187",101962,"2007",13,235
"189",101965,"1996",NA,NA
"192",101965,"2001",156,1801
"196",101965,"1998",258,2781
"200",101965,"1993",NA,NA
"206",101965,"1999",NA,NA
"209",101979,"1994",NA,NA
"217",101979,"2003",NA,NA
"218",101979,"1990",NA,NA
"220",102033,"1990",NA,NA
"221",102033,"2009",NA,NA
"223",102033,"2004",NA,NA
"227",102033,"2006",NA,NA
"228",102033,"2007",NA,NA
"230",102035,"2003",NA,NA
"231",102035,"2001",NA,NA
"234",102035,"2002",NA,NA
"235",102035,"1999",87,1831
"239",102035,"1999",77,1971
"240",102035,"1993",NA,NA
"241",102035,"2008",NA,NA
"243",102035,"1995",NA,NA
"248",102035,"1996",NA,NA
"253",102093,"2024",24,125
"254",102106,"2004",35,809
"255",102106,"2005",160,2166
"259",102106,"2006",86,1914
"260",102106,"2001",136,2248
"264",102106,"1995",16,205
"265",102106,"2005",108,1879
"266",102106,"1999",NA,NA
"267",102106,"2002",NA,NA
"270",102106,"1994",10,173
"271",102106,"2001",83,878
"272",102106,"2007",33,583
"273",102107,"2006",NA,NA
"279",102107,"2005",NA,NA
"280",102107,"2004",5,101
"282",102107,"1999",NA,NA
"285",102110,"1991",5,56
"287",102110,"2000",NA,NA
"289",102110,"1997",NA,NA
"298",102110,"1998",NA,NA
"304",102110,"2002",NA,NA
"305",102110,"1999",165,1543
"311",102143,"2003",16,302
"315",102143,"2004",17,301
"317",102143,"2004",12,72
"323",102148,"1995",37,1228
"326",102148,"1996",24,808
"327",102148,"2001",NA,NA
"328",102148,"2006",102,2045
"329",102148,"1996",10,496
"331",102148,"1997",NA,NA
"334",102148,"1991",NA,NA
"335",102148,"2008",85,1086
"336",102148,"1994",76,1991
"337",102148,"2009",70,1232
"344",102148,"2007",133,1792
"347",102148,"1990",NA,NA
"349",102148,"2005",52,1554
"350",102148,"2003",46,1181
"352",102148,"1993",30,1726
"353",102148,"2010",0,108
"354",102148,"2007",83,1585
"356",102148,"2000",NA,NA
"358",102179,"2003",143,1222
"362",102179,"2000",37,370
"363",102179,"2001",109,1642
"365",102179,"2003",162,1822
"370",102179,"2005",36,414
"371",102179,"2007",13,186
"375",102179,"2002",NA,NA
"376",102202,"1994",NA,NA
"377",102202,"2003",NA,NA
"378",102202,"2005",125,1909
"379",102202,"1992",NA,NA
"388",102202,"1998",NA,NA
"390",102202,"2006",113,1340
"392",102202,"2005",NA,NA
"399",102227,"1998",102,2293
"401",102227,"2003",116,1903
"404",102227,"2005",27,579
"409",102227,"2000",NA,NA
"410",102227,"2000",48,1147
"412",102227,"2005",9,237
"414",102227,"1999",NA,NA
"416",102227,"2006",1,127
"417",102227,"2002",NA,NA
"418",102227,"2002",101,1287
"420",102231,"1994",4,62
"421",102231,"2001",NA,NA
"422",102231,"2002",31,619
"425",102231,"2000",NA,NA
"429",102231,"2004",NA,NA
"435",102231,"1999",32,150
"436",102231,"2003",8,212
"438",102233,"1993",NA,NA
"441",102233,"1995",25,617
"442",102233,"1995",NA,NA
"443",102233,"2002",NA,NA
"444",102233,"1998",65,877
"446",102233,"2005",2,60
"448",102233,"1998",NA,NA
"450",102233,"2008",NA,NA
"455",102233,"2000",NA,NA
"459",102233,"2007",NA,NA
"460",102233,"1990",NA,NA
"465",102257,"2000",NA,NA
"468",102257,"1999",NA,NA
"470",102257,"2000",188,1321
"471",102257,"2003",NA,NA
"482",102257,"1995",276,2253
"483",102257,"1992",9,140
"485",102257,"2002",NA,NA
"486",102267,"2006",NA,NA
"487",102267,"2005",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"1995",9,107
"495",102269,"2004",92,915
"496",102269,"2001",9,94
"500",102269,"1996",10,104
"509",102271,"2005",4,118
"510",102271,"1995",NA,NA
"512",102271,"2003",NA,NA
"514",102271,"1996",NA,NA
"515",102271,"2001",NA,NA
"519",102271,"1994",NA,NA
"524",102271,"1993",NA,NA
"526",102282,"2006",2,60
"527",102282,"1998",1,75
"528",102286,"2005",NA,NA
"529",102286,"1995",NA,NA
"532",102286,"2002",NA,NA
"535",102286,"1996",NA,NA
"536",102286,"2003",NA,NA
