"player_id","year","bp","bp_converted"
100644,"2023",646,238
100644,"2017",497,224
100644,"2020",352,153
100644,"2022",276,126
100644,"2019",575,221
100644,"2018",637,272
100644,"2014",73,24
100644,"2024",714,265
100644,"2021",581,242
100644,"2016",523,220
100644,"2013",NA,NA
100644,"2015",174,76
101404,"1984",0,0
101404,"1994",647,289
101404,"1985",0,0
101404,"2010",NA,NA
101404,"1991",398,190
101404,"1987",0,0
101404,"2011",NA,NA
101404,"1996",751,331
101404,"1986",0,0
101404,"1999",113,38
101404,"1997",434,185
101404,"1990",0,0
101404,"1992",479,202
101404,"1995",872,431
101404,"1989",0,0
101404,"1988",0,0
101404,"1998",433,189
101404,"1993",850,373
101662,"2000",0,0
101662,"2001",0,0
101662,"1989",0,0
101662,"1990",0,0
101662,"1988",NA,NA
101662,"1995",9,4
101662,"1991",0,0
101662,"2006",NA,NA
101736,"1990",0,0
101736,"2004",375,159
101736,"1998",741,302
101736,"1994",561,264
101736,"1988",0,0
101736,"2002",578,245
101736,"1999",654,293
101736,"1989",0,0
101736,"1995",734,330
101736,"1986",0,0
101736,"2003",545,254
101736,"1991",438,183
101736,"1993",386,175
101736,"1992",430,203
101736,"2006",142,52
101736,"1987",0,0
101736,"2000",394,173
101736,"1997",192,72
101736,"2001",618,250
101736,"1996",429,181
101736,"2005",390,166
101855,"2005",NA,NA
101855,"2001",0,0
101855,"2003",0,0
101868,"1995",83,21
101868,"1993",5,2
101868,"2007",17,5
101868,"1998",NA,NA
101868,"2001",NA,NA
101868,"2003",63,18
101868,"2005",58,17
101868,"2004",28,12
101868,"2009",7,4
101868,"2006",77,29
101868,"1992",NA,NA
101868,"2002",24,10
101868,"1996",27,13
101868,"1997",49,15
101885,"1998",29,9
101885,"1996",12,3
101885,"1999",113,26
101885,"2004",117,41
101885,"2002",204,59
101885,"2003",135,35
101885,"2007",45,18
101885,"2000",110,38
101885,"2005",175,46
101885,"2006",65,19
101885,"2001",225,76
101889,"1997",357,158
101889,"2005",NA,NA
101889,"1988",0,0
101889,"1991",321,135
101889,"1989",0,0
101889,"1995",394,152
101889,"2001",92,32
101889,"1993",306,132
101889,"1994",249,103
101889,"2003",NA,NA
101889,"2000",77,35
101889,"1992",381,144
101889,"1996",446,189
101889,"1998",339,155
101889,"2004",NA,NA
101889,"1999",147,60
101889,"1990",11,5
101962,"2000",440,159
101962,"2010",6,1
101962,"2007",19,6
101962,"1999",337,141
101962,"1991",NA,NA
101962,"2002",438,162
101962,"1994",259,81
101962,"1990",0,0
101962,"1998",44,19
101962,"2004",NA,NA
101962,"1993",216,84
101962,"1995",70,31
101962,"2005",50,13
101962,"1997",23,9
101962,"1996",207,72
101962,"2003",353,141
101962,"2006",25,7
101962,"1992",27,13
101962,"2008",29,17
101962,"2001",433,154
101965,"2004",152,50
101965,"1992",559,244
101965,"1999",360,131
101965,"2000",493,198
101965,"1993",499,198
101965,"1997",384,154
101965,"2003",331,113
101965,"1990",0,0
101965,"1998",432,173
101965,"1996",488,202
101965,"2001",244,90
101965,"2005",NA,NA
101965,"1994",743,315
101965,"2002",298,124
101965,"1995",656,275
101965,"1991",361,150
101979,"1994",0,0
101979,"2008",NA,NA
101979,"1998",0,0
101979,"2003",NA,NA
101979,"1995",0,0
101979,"1993",0,0
101979,"1991",NA,NA
101979,"1992",0,0
101979,"1990",NA,NA
101979,"1997",0,0
101979,"1996",0,0
102035,"2006",217,91
102035,"2001",377,139
102035,"2000",415,166
102035,"2003",299,127
102035,"2005",294,113
102035,"2002",314,113
102035,"2007",309,126
102035,"1996",481,192
102035,"2008",95,40
102035,"2004",296,112
102035,"1993",90,41
102035,"1999",396,154
102035,"1991",NA,NA
102035,"1994",512,201
102035,"1998",463,216
102035,"1997",728,318
102035,"1992",NA,NA
102035,"1995",551,212
102093,"2024",20,3
102106,"1995",NA,NA
102106,"2007",76,29
102106,"1994",NA,NA
102106,"2004",225,82
102106,"2000",290,114
102106,"2003",230,89
102106,"1998",452,192
102106,"1999",242,89
102106,"2006",221,82
102106,"2001",237,91
102106,"2002",307,123
102106,"2005",368,146
102106,"1997",126,51
102107,"2000",0,0
102107,"2001",19,6
102107,"2004",12,4
102107,"1997",NA,NA
102107,"1998",0,0
102107,"1996",0,0
102107,"2005",0,0
102107,"2006",NA,NA
102107,"2003",2,1
102107,"1999",4,1
102107,"2002",3,3
102110,"1996",107,38
102110,"1991",9,4
102110,"2003",9,2
102110,"2001",66,26
102110,"1993",34,11
102110,"1999",223,89
102110,"1997",139,58
102110,"1995",43,21
102110,"2005",NA,NA
102110,"1998",178,59
102110,"1989",NA,NA
102110,"2002",3,1
102110,"2006",NA,NA
102110,"1992",22,6
102110,"2000",72,18
102110,"1994",57,23
102110,"2004",NA,NA
102143,"2003",55,23
102143,"2005",18,5
102143,"2002",41,12
102143,"1997",NA,NA
