"","player_id","year","bp_faced","bp_saved"
"2",100644,"2021",NA,NA
"3",100644,"2020",154,100
"4",100644,"2015",88,63
"6",100644,"2017",NA,NA
"10",100644,"2022",118,81
"11",100644,"2023",176,87
"12",100644,"2014",21,14
"13",100644,"2016",254,183
"14",100644,"2018",NA,NA
"17",100644,"2015",127,64
"18",100644,"2018",141,58
"22",101404,"1997",NA,NA
"25",101404,"1991",NA,NA
"26",101404,"1998",205,147
"27",101404,"1999",NA,NA
"28",101404,"1998",177,90
"30",101404,"1988",NA,NA
"32",101404,"1989",NA,NA
"34",101404,"1992",NA,NA
"36",101404,"1996",NA,NA
"37",101404,"1991",186,127
"38",101404,"1995",NA,NA
"42",101404,"1986",NA,NA
"44",101662,"2000",NA,NA
"46",101662,"1988",NA,NA
"49",101662,"1995",NA,NA
"52",101736,"1999",NA,NA
"55",101736,"1990",NA,NA
"57",101736,"1987",NA,NA
"58",101736,"2000",NA,NA
"65",101736,"2000",119,66
"67",101736,"1997",NA,NA
"70",101736,"2005",NA,NA
"71",101736,"1994",NA,NA
"74",101736,"1998",NA,NA
"75",101736,"2001",115,62
"77",101736,"1992",NA,NA
"82",101736,"1989",NA,NA
"84",101779,"1994",8,3
"86",101779,"1988",NA,NA
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"2001",10,7
"91",101868,"2005",71,40
"93",101868,"2003",48,31
"94",101868,"2009",9,6
"96",101868,"2006",NA,NA
"101",101868,"2003",10,8
"104",101868,"2007",NA,NA
"106",101868,"2004",45,26
"108",101868,"1996",0,0
"112",101868,"1997",22,17
"113",101868,"2007",4,1
"116",101885,"2004",NA,NA
"121",101885,"1999",NA,NA
"124",101885,"2002",160,113
"125",101885,"1996",1,1
"128",101885,"1999",61,34
"129",101885,"1998",15,12
"130",101885,"2003",NA,NA
"131",101885,"2000",NA,NA
"133",101889,"1990",NA,NA
"135",101889,"2000",67,34
"136",101889,"2000",19,14
"139",101889,"1996",NA,NA
"146",101889,"1989",NA,NA
"152",101889,"1998",200,96
"155",101889,"1998",196,127
"164",101962,"1992",NA,NA
"167",101962,"2005",NA,NA
"170",101962,"2000",NA,NA
"172",101962,"1993",NA,NA
"176",101962,"1995",NA,NA
"183",101962,"2001",170,92
"187",101962,"1994",216,119
"189",101965,"2004",NA,NA
"192",101965,"2005",NA,NA
"196",101965,"2001",NA,NA
"200",101965,"1990",NA,NA
"206",101965,"1992",NA,NA
"209",101979,"2008",NA,NA
"217",101979,"1992",NA,NA
"218",101979,"1991",NA,NA
"220",102033,"2004",NA,NA
"221",102033,"2008",NA,NA
"223",102033,"2006",NA,NA
"227",102033,"1996",NA,NA
"228",102033,"1990",NA,NA
"230",102035,"1997",NA,NA
"231",102035,"1993",NA,NA
"234",102035,"2004",NA,NA
"235",102035,"1993",80,40
"239",102035,"1991",12,7
