"player_id","year","double_fault","service_points"
102093,"2024",6,199
102143,"2003",40,683
102143,"2005",6,197
102143,"2002",29,563
102143,"1997",NA,NA
102143,"2001",27,547
102143,"2006",NA,NA
102143,"2004",16,373
102143,"2000",8,292
102179,"2000",42,1516
102179,"1996",8,138
102179,"2001",105,2662
102179,"2004",91,3058
102179,"2002",NA,NA
102179,"1999",NA,NA
102179,"2005",58,1560
102179,"2007",6,448
102179,"2003",95,3044
102179,"2006",5,312
102269,"2002",NA,NA
102269,"2005",23,367
102269,"2006",19,232
102269,"1997",39,1024
102269,"2001",19,225
102269,"1996",10,243
102269,"2003",17,516
102269,"1995",NA,NA
102269,"2000",20,309
102269,"1998",NA,NA
102269,"2004",71,1215
102287,"2000",181,3485
102287,"1995",17,496
102287,"2001",242,4781
102287,"2003",111,2067
102287,"1993",NA,NA
102287,"1996",NA,NA
102287,"2002",NA,NA
102287,"2007",NA,NA
102287,"2006",66,1505
102287,"1998",131,2762
102287,"2005",32,546
102287,"2004",76,1450
102287,"1999",NA,NA
102287,"1997",107,3141
102456,"2001",148,3733
102456,"2003",NA,NA
102456,"2005",89,2273
102456,"2002",125,3410
102456,"1998",NA,NA
102456,"2007",3,312
102456,"1997",NA,NA
102456,"1996",108,5746
102456,"2000",57,2100
102456,"1995",10,1124
102456,"2004",121,2615
102456,"1999",NA,NA
102456,"1994",NA,NA
102494,"2000",74,1397
102494,"2004",40,940
102494,"2005",70,1626
102494,"2003",NA,NA
102494,"1999",6,145
102494,"2006",65,1161
102494,"1997",4,119
102494,"2001",70,947
102494,"2002",30,415
102565,"2007",47,752
102565,"2002",48,974
102565,"2005",96,1548
102565,"2006",NA,NA
102565,"2004",17,374
102565,"2003",78,1583
102642,"2006",41,1067
102642,"2003",99,2381
102642,"2001",NA,NA
102642,"2002",52,831
102642,"1999",14,402
102642,"2004",160,4173
102642,"2007",4,98
102642,"2005",101,3094
102642,"2000",65,1470
102694,"2005",115,1961
102694,"2001",133,2694
102694,"2007",NA,NA
102694,"1994",NA,NA
102694,"2004",93,2054
102694,"1997",11,433
102694,"2003",NA,NA
102694,"1995",27,574
102694,"2006",44,964
102694,"1996",34,950
102694,"1999",60,1354
102694,"1998",67,1339
102694,"2000",17,443
102694,"2002",116,2671
102788,"2003",50,1307
102788,"2008",7,147
