"","player_id","year","first_return","first_won"
"2",100644,"2019",NA,NA
"3",100644,"2015",813,164
"4",100644,"2021",984,240
"6",100644,"2017",NA,NA
"10",100644,"2017",1219,295
"11",100644,"2020",654,173
"12",100644,"2016",2097,674
"13",100644,"2013",42,17
"14",100644,"2023",2825,918
"17",100644,"2020",1707,600
"18",100644,"2018",NA,NA
"22",101404,"1994",NA,NA
"25",101404,"1996",NA,NA
"26",101404,"1986",NA,NA
"27",101404,"1991",1322,530
"28",101404,"1990",NA,NA
"30",101404,"1991",NA,NA
"32",101404,"1998",894,215
"34",101404,"1997",NA,NA
"36",101404,"2010",27,1
"37",101404,"1993",NA,NA
"38",101404,"1985",NA,NA
"42",101404,"1987",NA,NA
"44",101662,"1988",NA,NA
"46",101662,"2006",NA,NA
"49",101662,"1991",NA,NA
"52",101736,"1992",NA,NA
"55",101736,"2000",NA,NA
"57",101736,"1988",NA,NA
"58",101736,"1987",NA,NA
"65",101736,"1996",NA,NA
"67",101736,"1995",537,121
"70",101736,"1994",NA,NA
"71",101736,"1997",NA,NA
"74",101736,"2006",373,85
"75",101736,"2001",NA,NA
"77",101736,"2006",616,200
"82",101736,"1989",NA,NA
"84",101779,"1988",NA,NA
"86",101779,"1994",40,14
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"1997",199,48
"91",101868,"2004",287,63
"93",101868,"2005",93,33
"94",101868,"2003",372,83
"96",101868,"1995",326,49
"101",101868,"1996",NA,NA
"104",101868,"1992",37,7
"106",101868,"2003",113,32
"108",101868,"2002",250,55
"112",101868,"2001",39,9
"113",101868,"2007",NA,NA
"116",101885,"1999",626,133
"121",101885,"1996",79,21
"124",101885,"2003",1091,223
"125",101885,"1998",221,57
"128",101885,"2001",1034,313
"129",101885,"2006",NA,NA
"130",101885,"2002",NA,NA
"131",101885,"2003",NA,NA
"133",101889,"1990",NA,NA
"135",101889,"2004",NA,NA
"136",101889,"1994",837,269
"139",101889,"1993",1016,286
"146",101889,"1989",NA,NA
"152",101889,"2001",297,74
"155",101889,"1997",NA,NA
"164",101962,"2001",NA,NA
"167",101962,"2008",NA,NA
"170",101962,"1995",NA,NA
"172",101962,"1998",154,54
"176",101962,"2007",NA,NA
"183",101962,"2000",NA,NA
"187",101962,"2007",146,32
"189",101965,"1996",NA,NA
"192",101965,"2001",1034,244
"196",101965,"1998",1606,519
"200",101965,"1993",NA,NA
"206",101965,"1999",NA,NA
"209",101979,"1994",NA,NA
"217",101979,"2003",NA,NA
"218",101979,"1990",NA,NA
"220",102033,"1990",NA,NA
"221",102033,"2009",NA,NA
"223",102033,"2004",NA,NA
"227",102033,"2006",NA,NA
"228",102033,"2007",NA,NA
"230",102035,"2003",NA,NA
"231",102035,"2001",NA,NA
"234",102035,"2002",NA,NA
"235",102035,"1999",1161,320
"239",102035,"1999",1099,373
"240",102035,"1993",NA,NA
"241",102035,"2008",NA,NA
"243",102035,"1995",NA,NA
"248",102035,"1996",NA,NA
"253",102093,"2024",89,29
"254",102106,"2004",474,169
"255",102106,"2005",1331,456
"259",102106,"2006",1081,256
