"","player_id","year","first_serve","first_won"
"2",100644,"2024",NA,NA
"3",100644,"2017",NA,NA
"4",100644,"2013",14,7
"6",100644,"2019",NA,NA
"10",100644,"2018",NA,NA
"11",100644,"2017",1302,910
"12",100644,"2020",1692,1337
"13",100644,"2014",157,108
"14",100644,"2022",1580,1201
"17",100644,"2023",3108,2355
"18",100644,"2016",1340,904
"22",101404,"1990",NA,NA
"25",101404,"1986",NA,NA
"26",101404,"1998",900,569
"27",101404,"1987",NA,NA
"28",101404,"1993",NA,NA
"30",101404,"1998",1507,1079
"32",101404,"1999",241,166
"34",101404,"1991",NA,NA
"36",101404,"1995",NA,NA
"37",101404,"1988",NA,NA
"38",101404,"1992",NA,NA
"42",101404,"1989",NA,NA
"44",101662,"1995",NA,NA
"46",101662,"1988",NA,NA
"49",101662,"2006",NA,NA
"52",101736,"2004",1531,1202
"55",101736,"1999",NA,NA
"57",101736,"1988",NA,NA
"58",101736,"2003",2108,1604
"65",101736,"2000",NA,NA
"67",101736,"1996",NA,NA
"70",101736,"2001",NA,NA
"71",101736,"1997",NA,NA
"74",101736,"2000",612,409
"75",101736,"2006",390,256
"77",101736,"2001",810,557
"82",101736,"2002",637,432
"84",101779,"1988",NA,NA
"86",101779,"1994",31,18
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"2009",39,32
"91",101868,"2004",60,40
"93",101868,"2005",470,333
"94",101868,"1993",30,23
"96",101868,"2006",208,159
"101",101868,"1996",NA,NA
"104",101868,"2006",NA,NA
"106",101868,"1996",26,23
"108",101868,"2007",NA,NA
"112",101868,"1998",123,84
"113",101868,"2007",65,48
"116",101885,"2005",NA,NA
"121",101885,"2007",45,30
"124",101885,"2003",1002,755
"125",101885,"2004",NA,NA
"128",101885,"1999",584,482
"129",101885,"2007",328,266
"130",101885,"2006",NA,NA
"131",101885,"1998",211,190
"133",101889,"1994",859,658
"135",101889,"1999",774,486
"136",101889,"2001",325,199
"139",101889,"1996",NA,NA
"146",101889,"2005",NA,NA
"152",101889,"1989",NA,NA
"155",101889,"2000",207,153
"164",101962,"2008",NA,NA
"167",101962,"2010",46,39
"170",101962,"2001",NA,NA
"172",101962,"1992",NA,NA
"176",101962,"1990",NA,NA
"183",101962,"1998",144,120
"187",101962,"2007",157,105
"189",101965,"1998",1497,1196
"192",101965,"2000",NA,NA
"196",101965,"1996",NA,NA
"200",101965,"2003",NA,NA
"206",101965,"1991",919,582
"209",101979,"1990",NA,NA
"217",101979,"1993",NA,NA
"218",101979,"1992",NA,NA
"220",102033,"2006",NA,NA
"221",102033,"2008",NA,NA
"223",102033,"1996",NA,NA
"227",102033,"2009",NA,NA
"228",102033,"2007",NA,NA
"230",102035,"1991",24,13
"231",102035,"2003",NA,NA
"234",102035,"1993",347,230
"235",102035,"2004",NA,NA
"239",102035,"1997",NA,NA
"240",102035,"1999",1105,793
"241",102035,"2007",NA,NA
"243",102035,"1992",17,11
"248",102035,"1996",NA,NA
"253",102093,"2024",80,59
"254",102106,"2004",1015,661
"255",102106,"1995",124,93
"259",102106,"1998",NA,NA
"260",102106,"2006",590,450
"264",102106,"1994",72,51
"265",102106,"2001",1235,839
"266",102106,"2007",334,218
"267",102106,"2005",1284,959
"270",102106,"2002",NA,NA
"271",102106,"2000",NA,NA
"272",102106,"2007",253,187
"273",102107,"1997",NA,NA
"279",102107,"2002",NA,NA
"280",102107,"2001",NA,NA
"282",102107,"1998",NA,NA
"285",102110,"2001",162,133
"287",102110,"1999",NA,NA
"289",102110,"2001",302,193
"298",102110,"1991",34,25
"304",102110,"1994",NA,NA
"305",102110,"1993",313,245
"311",102143,"2001",90,70
"315",102143,"1997",105,81
"317",102143,"2004",45,39
"323",102148,"1992",NA,NA
"326",102148,"2000",NA,NA
"327",102148,"1997",1149,836
"328",102148,"1994",NA,NA
"329",102148,"1996",420,256
"331",102148,"2006",1162,759
"334",102148,"1996",283,194
"335",102148,"1989",NA,NA
"336",102148,"1999",NA,NA
"337",102148,"1991",NA,NA
"344",102148,"2010",65,43
"347",102148,"2002",1309,834
"349",102148,"1993",NA,NA
"350",102148,"2003",760,557
"352",102148,"2007",876,569
"353",102148,"2005",899,537
"354",102148,"2007",1039,797
"356",102148,"2003",NA,NA
"358",102179,"1996",48,35
"362",102179,"2004",993,694
"363",102179,"1996",21,15
"365",102179,"2003",747,578
"370",102179,"2000",662,451
"371",102179,"2007",121,84
"375",102179,"2002",NA,NA
"376",102202,"2006",806,563
"377",102202,"2002",754,546
"378",102202,"1992",NA,NA
"379",102202,"1998",NA,NA
"388",102202,"1997",NA,NA
"390",102202,"2004",866,617
"392",102202,"1994",NA,NA
"399",102227,"1993",85,55
"401",102227,"1998",1364,915
"404",102227,"2005",367,218
"409",102227,"2005",143,102
"410",102227,"2004",891,668
"412",102227,"2002",761,558
"414",102227,"1999",916,670
"416",102227,"2002",NA,NA
"417",102227,"2006",76,43
"418",102227,"2000",740,500
"420",102231,"1998",427,320
"421",102231,"2002",374,226
"422",102231,"2000",408,300
"425",102231,"2006",106,82
"429",102231,"2000",NA,NA
"435",102231,"1999",79,68
"436",102231,"2005",213,161
"438",102233,"1992",NA,NA
"441",102233,"1998",518,400
"442",102233,"2005",NA,NA
"443",102233,"1993",NA,NA
"444",102233,"2008",NA,NA
"446",102233,"2006",NA,NA
"448",102233,"1991",NA,NA
"450",102233,"1994",NA,NA
"455",102233,"2001",107,71
"459",102233,"2004",NA,NA
"460",102233,"2005",36,24
"465",102257,"2004",NA,NA
"468",102257,"1993",481,372
"470",102257,"2000",777,631
"471",102257,"1992",76,51
"482",102257,"1995",1243,953
"483",102257,"1999",NA,NA
"485",102257,"1994",988,802
"486",102267,"2005",NA,NA
"487",102267,"2006",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"2004",553,378
"495",102269,"2005",168,120
"496",102269,"2005",50,37
"500",102269,"2006",94,73
"509",102271,"2000",NA,NA
"510",102271,"2005",67,40
"512",102271,"2003",NA,NA
"514",102271,"2001",NA,NA
"515",102271,"1997",NA,NA
"519",102271,"1999",NA,NA
"524",102271,"1996",NA,NA
"526",102282,"1994",25,16
"527",102282,"2006",39,21
"528",102286,"1995",NA,NA
"529",102286,"2000",NA,NA
"532",102286,"2004",NA,NA
"535",102286,"2003",NA,NA
"536",102286,"1997",NA,NA
"540",102286,"2002",NA,NA
"541",102286,"1992",NA,NA
