"player_id","year","second_return","second_won"
102093,"2024",67,27
102143,"2003",259,114
102143,"2005",69,28
102143,"2002",203,86
102143,"1997",NA,NA
102143,"2001",166,69
102143,"2006",NA,NA
102143,"2004",126,41
102143,"2000",114,49
102179,"2000",484,170
102179,"1996",51,21
102179,"2001",1001,417
102179,"2004",1044,409
102179,"2002",NA,NA
102179,"1999",NA,NA
102179,"2005",556,223
102179,"2007",133,57
102179,"2003",1151,467
102179,"2006",113,33
102269,"2002",NA,NA
102269,"2005",128,52
102269,"2006",97,33
102269,"1997",419,192
102269,"2001",56,16
102269,"1996",104,41
102269,"2003",195,83
102269,"1995",NA,NA
102269,"2000",94,31
102269,"1998",NA,NA
102269,"2004",364,126
102287,"2000",1344,639
102287,"1995",181,88
102287,"2001",1912,921
102287,"2003",731,313
102287,"1993",NA,NA
102287,"1996",NA,NA
102287,"2002",NA,NA
102287,"2007",NA,NA
102287,"2006",535,232
102287,"1998",1109,503
102287,"2005",190,95
102287,"2004",542,238
102287,"1999",NA,NA
102287,"1997",1124,581
102456,"2001",1371,651
102456,"2003",NA,NA
102456,"2005",813,359
102456,"2002",1291,609
102456,"1998",NA,NA
102456,"2007",116,54
102456,"1997",NA,NA
102456,"1996",2088,1048
102456,"2000",836,376
102456,"1995",422,211
102456,"2004",928,442
102456,"1999",NA,NA
102456,"1994",NA,NA
102494,"2000",506,233
102494,"2004",325,147
102494,"2005",549,220
102494,"2003",NA,NA
102494,"1999",55,22
102494,"2006",378,166
102494,"1997",36,22
102494,"2001",382,165
102494,"2002",193,90
102565,"2007",251,83
102565,"2002",304,112
102565,"2005",523,190
102565,"2006",NA,NA
102565,"2004",124,47
102565,"2003",503,175
102642,"2006",392,146
102642,"2003",798,343
102642,"2001",NA,NA
102642,"2002",295,129
102642,"1999",145,60
102642,"2004",1591,683
102642,"2007",55,25
102642,"2005",1106,463
102642,"2000",562,224
102694,"2005",680,279
102694,"2001",1030,478
102694,"2007",NA,NA
102694,"1994",NA,NA
102694,"2004",654,279
102694,"1997",145,70
102694,"2003",NA,NA
102694,"1995",192,105
102694,"2006",352,161
102694,"1996",352,137
102694,"1999",498,224
102694,"1998",461,201
102694,"2000",170,65
102694,"2002",977,422
102788,"2003",492,194
102788,"2008",39,15
102788,"2006",79,36
102788,"2004",383,146
102788,"2001",476,205
102788,"2007",33,20
102788,"2005",60,32
102788,"2002",NA,NA
102834,"2003",209,102
102834,"1994",NA,NA
102834,"1995",NA,NA
102834,"2001",388,163
102834,"2002",110,42
102834,"1996",NA,NA
102834,"2007",568,277
102834,"1998",175,77
102834,"2000",1289,575
102834,"2004",299,129
102834,"2006",916,426
102834,"2005",685,318
102834,"1993",NA,NA
102834,"1999",986,476
102869,"1995",171,84
102869,"2003",509,238
102869,"1998",1269,571
102869,"2005",NA,NA
102869,"2001",1324,584
102869,"1999",888,401
102869,"1997",1009,452
102869,"1996",NA,NA
102869,"2006",56,25
102869,"2002",629,275
102869,"2004",557,221
102869,"2000",889,384
102869,"1994",NA,NA
102880,"2002",525,231
102880,"2000",607,251
102880,"1999",NA,NA
102880,"2001",356,162
102880,"2003",539,226
102880,"2004",675,302
102880,"2005",568,205
102881,"2007",NA,NA
102881,"1995",66,32
102881,"1993",43,20
102881,"1994",42,25
102881,"1997",90,32
102881,"2006",NA,NA
102881,"2008",NA,NA
102881,"1996",95,41
102886,"2010",NA,NA
102886,"2006",43,16
102886,"2003",317,143
102886,"2012",NA,NA
102886,"2005",121,57
102886,"2004",88,43
102886,"2001",NA,NA
102904,"2006",104,60
102904,"2000",98,46
102904,"2001",NA,NA
102925,"2007",317,118
102925,"2005",527,209
102925,"2004",157,62
102925,"1999",1194,488
102925,"2000",977,399
102925,"1997",1217,544
102925,"2001",422,162
102925,"2002",338,150
102925,"1998",NA,NA
102925,"2003",642,274
102925,"2006",869,345
