"player_id","year","second_won","second_serve"
102093,"2024",38,64
102143,"2003",167,277
102143,"2005",42,78
102143,"2002",117,207
102143,"1997",NA,NA
102143,"2001",117,215
102143,"2006",NA,NA
102143,"2004",83,152
102143,"2000",72,120
102179,"2000",321,589
102179,"1996",30,61
102179,"2001",540,990
102179,"2004",644,1151
102179,"2002",NA,NA
102179,"1999",NA,NA
102179,"2005",330,603
102179,"2007",81,134
102179,"2003",656,1165
102179,"2006",69,118
102269,"2002",NA,NA
102269,"2005",67,126
102269,"2006",43,73
102269,"1997",180,350
102269,"2001",35,76
102269,"1996",41,77
102269,"2003",90,174
102269,"1995",NA,NA
102269,"2000",64,120
102269,"1998",NA,NA
102269,"2004",216,399
102287,"2000",774,1459
102287,"1995",91,167
102287,"2001",1084,2026
102287,"2003",375,744
102287,"1993",NA,NA
102287,"1996",NA,NA
102287,"2002",NA,NA
102287,"2007",NA,NA
102287,"2006",315,643
102287,"1998",532,1064
102287,"2005",114,212
102287,"2004",258,511
102287,"1999",NA,NA
102287,"1997",513,939
102456,"2001",800,1429
102456,"2003",NA,NA
102456,"2005",447,841
102456,"2002",647,1181
102456,"1998",NA,NA
102456,"2007",50,85
102456,"1997",NA,NA
102456,"1996",932,1683
102456,"2000",426,764
102456,"1995",193,346
102456,"2004",559,1002
102456,"1999",NA,NA
102456,"1994",NA,NA
102494,"2000",258,486
102494,"2004",152,295
102494,"2005",296,571
102494,"2003",NA,NA
102494,"1999",33,50
102494,"2006",213,442
102494,"1997",28,50
102494,"2001",183,332
102494,"2002",90,165
102565,"2007",159,274
102565,"2002",192,317
102565,"2005",333,542
102565,"2006",NA,NA
102565,"2004",76,126
102565,"2003",308,523
102642,"2006",204,400
102642,"2003",553,943
102642,"2001",NA,NA
102642,"2002",190,340
102642,"1999",83,185
102642,"2004",1013,1704
102642,"2007",20,33
102642,"2005",641,1173
102642,"2000",351,639
102694,"2005",386,745
102694,"2001",542,968
102694,"2007",NA,NA
102694,"1994",NA,NA
102694,"2004",391,757
102694,"1997",76,139
102694,"2003",NA,NA
102694,"1995",92,184
102694,"2006",179,336
102694,"1996",185,323
102694,"1999",267,467
102694,"1998",259,468
102694,"2000",94,171
102694,"2002",564,1056
102788,"2003",276,524
102788,"2008",31,54
102788,"2006",48,75
102788,"2004",238,453
102788,"2001",266,483
102788,"2007",18,36
102788,"2005",23,41
102788,"2002",NA,NA
102834,"2003",131,236
102834,"1994",NA,NA
102834,"1995",NA,NA
102834,"2001",204,371
102834,"2002",65,126
102834,"1996",NA,NA
102834,"2007",293,556
102834,"1998",70,132
102834,"2000",587,1082
102834,"2004",143,273
102834,"2006",510,973
102834,"2005",378,714
102834,"1993",NA,NA
102834,"1999",457,893
102869,"1995",78,153
102869,"2003",285,506
102869,"1998",724,1379
102869,"2005",NA,NA
102869,"2001",863,1566
102869,"1999",621,1129
102869,"1997",635,1155
102869,"1996",NA,NA
102869,"2006",36,87
102869,"2002",410,780
102869,"2004",351,654
102869,"2000",553,1018
102869,"1994",NA,NA
102880,"2002",212,410
102880,"2000",327,572
102880,"1999",NA,NA
102880,"2001",168,309
102880,"2003",300,516
102880,"2004",340,559
102880,"2005",271,476
102881,"2007",NA,NA
102881,"1995",32,64
102881,"1993",45,82
102881,"1994",37,67
102881,"1997",42,90
102881,"2006",NA,NA
102881,"2008",NA,NA
102881,"1996",51,94
102886,"2010",NA,NA
102886,"2006",30,56
102886,"2003",165,319
102886,"2012",NA,NA
102886,"2005",65,119
102886,"2004",39,73
102886,"2001",NA,NA
102904,"2006",38,75
102904,"2000",46,79
102904,"2001",NA,NA
102925,"2007",169,324
102925,"2005",335,581
102925,"2004",95,163
102925,"1999",623,1173
102925,"2000",508,911
102925,"1997",632,1191
102925,"2001",241,459
102925,"2002",165,314
102925,"1998",NA,NA
102925,"2003",406,811
102925,"2006",573,1094
102925,"1996",159,284
102925,"1995",45,91
102967,"2002",36,66
102967,"2011",NA,NA
102967,"2013",NA,NA
102967,"2009",783,1429
102967,"2006",535,1015
102967,"2004",55,97
102967,"2014",41,72
102967,"2008",718,1363
102967,"2012",NA,NA
102967,"2010",279,530
102967,"2005",50,102
102967,"2007",741,1388
102999,"2003",55,96
102999,"2006",244,431
102999,"2002",NA,NA
102999,"2001",47,78
102999,"2007",155,292
102999,"2011",NA,NA
102999,"2008",45,74
102999,"2010",NA,NA
103032,"2005",37,70
103105,"2006",NA,NA
103105,"2005",117,205
103105,"2013",110,203
103105,"2010",70,149
103105,"2002",NA,NA
103105,"2009",226,427
103105,"2008",100,199
103105,"2004",NA,NA
103105,"2014",NA,NA
103105,"2003",217,409
103105,"2012",278,506
103105,"2011",340,681
103105,"2001",34,55
103105,"2007",NA,NA
103169,"2007",NA,NA
103169,"2008",492,930
103169,"2005",276,540
103169,"2009",491,936
103169,"2006",124,210
103169,"2003",119,229
103169,"2010",191,368
103169,"2004",323,635
103175,"2006",NA,NA
103175,"2007",16,36
103175,"2005",27,53
103181,"2005",359,733
103181,"2006",292,607
103181,"2003",240,447
103181,"2000",NA,NA
103181,"2008",NA,NA
103181,"2007",264,547
103181,"1995",40,90
103181,"2004",163,347
103181,"2002",78,155
103181,"2009",NA,NA
103181,"2001",600,1211
103185,"1997",NA,NA
103185,"2008",NA,NA
103185,"2002",41,71
103185,"2003",31,64
103185,"2001",46,90
103185,"2007",NA,NA
103185,"2000",42,75
103188,"2010",446,776
103188,"2006",NA,NA
103188,"2001",310,581
103188,"2012",326,556
103188,"2013",294,566
103188,"2007",318,589
103188,"2011",372,668
103188,"2009",75,136
103188,"2014",256,468
103188,"2000",106,189
103188,"2008",90,154
103188,"2003",25,43
103188,"2002",221,405
103188,"2015",NA,NA
103188,"1998",NA,NA
103204,"2002",NA,NA
103204,"2005",90,185
103204,"2003",NA,NA
103204,"2001",143,256
103204,"2006",47,85
103204,"2004",112,187
103204,"2007",58,106
103204,"2008",27,47
103204,"2000",NA,NA
103240,"2009",346,702
103240,"1999",NA,NA
103240,"2001",50,91
103240,"2006",378,690
103240,"2010",46,93
103240,"2005",658,1277
103240,"1996",NA,NA
103240,"2004",54,109
103240,"2002",74,116
103240,"2000",113,194
103240,"2003",NA,NA
103240,"2007",180,402
103240,"2008",NA,NA
103252,"2010",115,197
103252,"2003",NA,NA
103252,"2007",217,437
103252,"1998",71,172
103252,"2004",749,1317
103252,"2009",392,720
103252,"2000",NA,NA
103252,"1996",62,108
103252,"2002",NA,NA
103252,"1999",NA,NA
103252,"2001",926,1584
103252,"1997",NA,NA
103252,"2005",887,1605
103252,"2006",584,1052
103252,"2008",111,200
103305,"2000",161,281
103305,"2004",104,208
103305,"2005",43,67
103305,"2002",NA,NA
103305,"1997",NA,NA
103305,"2001",187,382
103339,"1998",NA,NA
103339,"2007",47,88
103339,"2004",29,47
103339,"2006",82,145
103373,"2009",64,155
103373,"2007",NA,NA
103373,"2000",24,51
103373,"2008",339,646
103373,"2005",NA,NA
103373,"2003",93,191
103373,"2006",100,216
103401,"2007",252,492
103401,"2011",99,183
103401,"2005",NA,NA
103401,"2014",40,84
103401,"2015",51,86
103401,"2004",261,486
103401,"2009",NA,NA
103401,"2016",NA,NA
103401,"2010",NA,NA
103401,"2006",NA,NA
103401,"2002",NA,NA
103401,"2000",NA,NA
103401,"2013",144,240
103401,"2008",195,348
103401,"2012",61,118
103408,"2002",242,414
103408,"2006",36,55
103408,"2003",450,765
103408,"2004",160,286
103408,"2005",36,64
103420,"1996",53,106
103420,"1997",NA,NA
103420,"2001",NA,NA
103420,"2005",304,540
103420,"2004",NA,NA
103420,"1998",16,38
103420,"2008",NA,NA
103420,"2002",184,333
103420,"2000",107,202
103420,"1999",33,68
103424,"2006",86,148
103448,"2008",22,38
103451,"2010",380,635
103451,"2002",120,229
103451,"2006",727,1327
103451,"1999",78,123
103451,"2007",266,498
103451,"2009",483,863
103451,"2011",123,239
103451,"1998",NA,NA
103451,"2014",78,128
103451,"2004",137,251
103451,"2012",384,718
103451,"2001",100,205
103451,"2008",142,256
103451,"2005",468,841
103451,"2013",87,175
103451,"2003",107,201
103451,"2000",NA,NA
103470,"2011",194,362
103470,"2012",NA,NA
103470,"2005",NA,NA
103470,"2009",415,776
103470,"2007",332,621
103470,"2008",212,381
103470,"2003",269,463
103470,"2004",106,199
