"","player_id","year","serves","serves_won"
"2",100644,"2024",NA,NA
"3",100644,"2017",NA,NA
"4",100644,"2013",39,13
"6",100644,"2019",NA,NA
"10",100644,"2018",NA,NA
"11",100644,"2017",2000,1228
"12",100644,"2020",2437,1695
"13",100644,"2014",288,180
"14",100644,"2022",2189,1512
"17",100644,"2023",4396,3037
"18",100644,"2016",2238,1310
"22",101404,"1994",NA,NA
"25",101404,"1996",NA,NA
"26",101404,"1986",NA,NA
"27",101404,"1991",2172,1393
"28",101404,"1990",NA,NA
"30",101404,"1991",NA,NA
"32",101404,"1998",1511,846
"34",101404,"1997",NA,NA
"36",101404,"2010",66,41
"37",101404,"1993",NA,NA
"38",101404,"1985",NA,NA
"42",101404,"1987",NA,NA
"44",101662,"1988",NA,NA
"46",101662,"2006",NA,NA
"49",101662,"1991",NA,NA
"52",101736,"1992",NA,NA
"55",101736,"2000",NA,NA
"57",101736,"1988",NA,NA
"58",101736,"1987",NA,NA
"65",101736,"1996",NA,NA
"67",101736,"1995",932,538
"70",101736,"1994",NA,NA
"71",101736,"1997",NA,NA
"74",101736,"2006",687,410
"75",101736,"2001",NA,NA
"77",101736,"2006",968,654
"82",101736,"1989",NA,NA
"84",101779,"1988",NA,NA
"86",101779,"1994",54,27
"87",101855,"2003",NA,NA
"89",101855,"2001",NA,NA
"90",101868,"1997",312,175
"91",101868,"2004",509,313
"93",101868,"2005",141,99
"94",101868,"2003",647,421
"96",101868,"1995",527,346
"101",101868,"1996",NA,NA
"104",101868,"1992",82,46
"106",101868,"2003",221,158
"108",101868,"2002",484,295
"112",101868,"2001",64,37
"113",101868,"2007",NA,NA
"116",101885,"1999",1122,763
"121",101885,"1996",136,91
"124",101885,"2003",1809,1152
"125",101885,"1998",376,282
"128",101885,"2001",1609,1166
"129",101885,"2006",NA,NA
"130",101885,"2002",NA,NA
"131",101885,"2003",NA,NA
"133",101889,"1990",NA,NA
"135",101889,"2004",NA,NA
"136",101889,"1994",1572,897
"139",101889,"1993",1747,954
"146",101889,"1989",NA,NA
"152",101889,"2001",559,307
"155",101889,"1997",NA,NA
"164",101962,"2001",NA,NA
"167",101962,"2008",NA,NA
"170",101962,"1995",NA,NA
"172",101962,"1998",255,186
"176",101962,"2007",NA,NA
"183",101962,"2000",NA,NA
"187",101962,"2007",235,140
"189",101965,"1996",NA,NA
"192",101965,"2001",1801,1033
"196",101965,"1998",2781,1843
"200",101965,"1993",NA,NA
"206",101965,"1999",NA,NA
"209",101979,"1994",NA,NA
"217",101979,"2003",NA,NA
"218",101979,"1990",NA,NA
"220",102033,"1990",NA,NA
"221",102033,"2009",NA,NA
"223",102033,"2004",NA,NA
"227",102033,"2006",NA,NA
"228",102033,"2007",NA,NA
"230",102035,"2003",NA,NA
"231",102035,"2001",NA,NA
"234",102035,"2002",NA,NA
"235",102035,"1999",1831,1193
"239",102035,"1999",1971,1126
"240",102035,"1993",NA,NA
"241",102035,"2008",NA,NA
"243",102035,"1995",NA,NA
"248",102035,"1996",NA,NA
"253",102093,"2024",125,84
"254",102106,"2004",809,516
"255",102106,"2005",2166,1431
"259",102106,"2006",1914,1101
"260",102106,"2001",2248,1283
"264",102106,"1995",205,128
"265",102106,"2005",1879,1084
"266",102106,"1999",NA,NA
"267",102106,"2002",NA,NA
"270",102106,"1994",173,92
"271",102106,"2001",878,570
"272",102106,"2007",405,267
"273",102107,"2006",NA,NA
"279",102107,"2005",NA,NA
"280",102107,"2004",101,56
"282",102107,"1999",NA,NA
"285",102110,"1991",56,40
"287",102110,"2000",NA,NA
"289",102110,"1997",NA,NA
"298",102110,"1998",NA,NA
"304",102110,"2002",NA,NA
"305",102110,"1999",1543,1044
"311",102143,"2003",302,172
"315",102143,"2004",301,178
"317",102143,"2004",72,58
"323",102148,"1995",1228,735
"326",102148,"1996",808,429
"327",102148,"2001",NA,NA
"328",102148,"2006",2045,1154
"329",102148,"1996",496,304
"331",102148,"1997",NA,NA
"334",102148,"1991",NA,NA
"335",102148,"2008",1086,760
"336",102148,"1994",1991,1261
"337",102148,"2009",1232,810
"344",102148,"2007",1792,1238
"347",102148,"1990",NA,NA
"349",102148,"2005",1554,863
"350",102148,"2003",1181,797
"352",102148,"1993",1726,1081
"353",102148,"2010",108,64
"354",102148,"2007",1585,901
"356",102148,"2000",NA,NA
"358",102179,"2003",1222,851
"362",102179,"2000",370,260
"363",102179,"2001",1642,987
"365",102179,"2003",1822,1103
"370",102179,"2005",414,287
"371",102179,"2007",186,114
"375",102179,"2002",NA,NA
"376",102202,"1994",NA,NA
"377",102202,"2003",NA,NA
"378",102202,"2005",1909,1120
"379",102202,"1992",NA,NA
"388",102202,"1998",NA,NA
"390",102202,"2006",1340,812
"392",102202,"2005",NA,NA
"399",102227,"1998",2293,1340
"401",102227,"2003",1903,1286
"404",102227,"2005",579,297
"409",102227,"2000",NA,NA
"410",102227,"2000",1147,722
"412",102227,"2005",237,141
"414",102227,"1999",NA,NA
"416",102227,"2006",127,62
"417",102227,"2002",NA,NA
"418",102227,"2002",1287,841
"420",102231,"1994",62,26
"421",102231,"2001",NA,NA
"422",102231,"2002",363,249
"425",102231,"2000",NA,NA
"429",102231,"2004",NA,NA
"435",102231,"1999",150,107
"436",102231,"2003",212,105
"438",102233,"1993",NA,NA
"441",102233,"1995",617,334
"442",102233,"1995",NA,NA
"443",102233,"2002",NA,NA
"444",102233,"1998",877,605
"446",102233,"2005",60,34
"448",102233,"1998",NA,NA
"450",102233,"2008",NA,NA
"455",102233,"2000",NA,NA
"459",102233,"2007",NA,NA
"460",102233,"1990",NA,NA
"465",102257,"2000",NA,NA
"468",102257,"1999",NA,NA
"470",102257,"2000",1321,923
"471",102257,"2003",NA,NA
"482",102257,"1995",2253,1412
"483",102257,"1992",140,71
"485",102257,"2002",NA,NA
"486",102267,"2006",NA,NA
"487",102267,"2005",NA,NA
"489",102267,"2003",NA,NA
"493",102269,"1995",107,53
"495",102269,"2004",915,537
"496",102269,"2001",94,60
"500",102269,"1996",139,82
"509",102271,"2005",118,62
"510",102271,"1995",NA,NA
"512",102271,"2003",NA,NA
"514",102271,"1996",NA,NA
"515",102271,"2001",NA,NA
"519",102271,"1994",NA,NA
"524",102271,"1993",NA,NA
"526",102282,"2006",60,37
"527",102282,"1998",75,41
"528",102286,"2005",NA,NA
"529",102286,"1995",NA,NA
"532",102286,"2002",NA,NA
