"year","player_id","total_points","total_won"
1993,102287,NA,NA
1993,102834,NA,NA
1993,102881,285,131
1994,102456,NA,NA
1994,102694,NA,NA
1994,102834,NA,NA
1994,102869,NA,NA
1994,102881,232,117
1995,102269,NA,NA
1995,102287,962,484
1995,102456,2270,1168
1995,102694,1095,539
1995,102834,NA,NA
1995,102869,987,469
1995,102881,313,154
1995,102925,560,268
1995,103181,317,150
1996,102179,285,134
1996,102269,484,225
1996,102287,NA,NA
1996,102456,11581,5917
1996,102694,1897,953
1996,102834,NA,NA
1996,102869,NA,NA
1996,102881,547,248
1996,102925,1512,719
1996,103240,NA,NA
1996,103252,622,294
1996,103420,567,279
1997,102143,NA,NA
1997,102269,2086,1031
1997,102287,6290,3165
1997,102456,NA,NA
1997,102494,230,123
1997,102694,815,401
1997,102869,5831,2829
1997,102881,500,228
1997,102925,6759,3301
1997,103185,NA,NA
1997,103252,NA,NA
1997,103305,NA,NA
1997,103420,NA,NA
1998,102269,NA,NA
1998,102287,5567,2648
1998,102456,NA,NA
1998,102694,2623,1284
1998,102834,866,425
1998,102869,6816,3331
1998,102925,NA,NA
1998,103188,NA,NA
1998,103252,1028,440
1998,103339,NA,NA
1998,103420,314,148
1998,103451,NA,NA
1998,103487,NA,NA
1999,102179,NA,NA
1999,102287,NA,NA
1999,102456,NA,NA
1999,102494,275,148
1999,102642,767,362
1999,102694,2680,1370
1999,102834,5291,2644
1999,102869,5038,2488
1999,102880,NA,NA
1999,102925,6612,3238
1999,103240,NA,NA
1999,103252,NA,NA
1999,103420,528,278
1999,103451,623,307
2000,102143,592,298
2000,102179,2882,1374
2000,102269,578,266
2000,102287,6866,3400
2000,102456,4189,2076
2000,102494,2812,1380
2000,102642,2889,1350
2000,102694,890,408
2000,102834,6556,3239
2000,102869,4721,2305
2000,102880,3401,1681
2000,102904,478,236
2000,102925,5080,2521
2000,103181,NA,NA
2000,103185,505,241
2000,103188,1245,588
2000,103204,NA,NA
2000,103240,1036,495
2000,103252,NA,NA
2000,103305,1313,634
2000,103373,360,174
2000,103401,NA,NA
2000,103420,1147,542
2000,103451,NA,NA
2000,103487,673,324
2000,103566,2058,1018
2000,103917,NA,NA
2001,102143,1105,541
2001,102179,5349,2625
2001,102269,407,191
2001,102287,9625,4869
2001,102456,7356,3698
2001,102494,1941,947
2001,102642,NA,NA
2001,102694,5419,2665
2001,102788,2647,1309
2001,102834,1999,954
2001,102869,6632,3241
2001,102880,1950,926
2001,102886,NA,NA
2001,102904,NA,NA
2001,102925,2391,1130
2001,102999,396,188
2001,103105,242,117
2001,103181,5616,2718
2001,103185,467,216
2001,103188,4243,2032
2001,103204,1431,710
2001,103240,492,237
2001,103252,9266,4667
2001,103305,1719,773
2001,103420,NA,NA
2001,103451,945,431
2001,103487,NA,NA
2001,103566,3058,1488
2001,103656,3317,1725
2001,103898,288,145
2001,103917,926,436
2001,104043,1048,533
2001,104068,1325,643
2001,104166,NA,NA
2001,104196,196,93
2002,102143,1111,538
2002,102179,NA,NA
2002,102269,NA,NA
2002,102287,NA,NA
2002,102456,6845,3373
2002,102494,856,419
2002,102565,1882,916
2002,102642,1643,813
2002,102694,5326,2638
2002,102788,NA,NA
2002,102834,669,314
2002,102869,3567,1705
2002,102880,2584,1291
2002,102925,1777,856
2002,102967,249,117
2002,102999,NA,NA
2002,103105,NA,NA
2002,103181,739,332
2002,103185,372,176
2002,103188,2827,1328
2002,103204,NA,NA
2002,103240,585,294
2002,103252,NA,NA
2002,103305,NA,NA
2002,103401,NA,NA
2002,103408,2499,1243
2002,103420,1597,754
2002,103451,1030,486
2002,103487,943,418
2002,103566,NA,NA
2002,103656,6228,3006
2002,103693,NA,NA
2002,103700,NA,NA
2002,103722,NA,NA
2002,103737,NA,NA
2002,103823,NA,NA
2002,103898,NA,NA
2002,103917,NA,NA
2002,104043,588,284
2002,104068,2571,1211
2002,104166,546,270
2002,104196,NA,NA
2002,104269,404,184
2002,104330,NA,NA
2002,104548,NA,NA
2003,102143,1381,709
2003,102179,6069,3011
2003,102269,1060,539
2003,102287,4126,1945
2003,102456,NA,NA
2003,102494,NA,NA
2003,102565,3060,1424
2003,102642,4655,2315
2003,102694,NA,NA
2003,102788,2560,1211
2003,102834,1237,628
