"player_id","year","matches_won","total_matches"
100644,"2023",55,82
100644,"2017",57,79
100644,"2020",28,39
100644,"2022",29,40
100644,"2019",44,69
100644,"2018",60,79
100644,"2014",4,10
100644,"2024",69,90
100644,"2021",60,75
100644,"2016",44,68
100644,"2013",0,1
100644,"2015",14,31
101404,"1984",4,7
101404,"1994",58,84
101404,"1985",12,20
101404,"2010",0,1
101404,"1991",30,50
101404,"1987",26,44
101404,"2011",0,2
101404,"1996",70,92
101404,"1986",22,40
101404,"1999",5,16
101404,"1997",44,67
101404,"1990",51,69
101404,"1992",39,61
101404,"1995",86,105
101404,"1989",20,30
101404,"1988",51,67
101404,"1998",32,52
101404,"1993",77,98
101662,"2000",2,3
101662,"2001",2,3
101662,"1989",1,2
101662,"1990",2,3
101662,"1988",0,2
101662,"1995",1,3
101662,"1991",2,4
101662,"2006",0,2
101736,"1990",45,57
101736,"2004",37,50
101736,"1998",68,86
101736,"1994",52,66
101736,"1988",63,74
101736,"2002",54,66
101736,"1999",63,77
101736,"1989",41,60
101736,"1995",73,82
101736,"1986",5,11
101736,"2003",47,57
101736,"1991",39,56
101736,"1993",33,44
101736,"1992",42,57
101736,"2006",10,18
101736,"1987",26,43
101736,"2000",40,55
101736,"1997",12,24
101736,"2001",46,61
101736,"1996",38,52
101736,"2005",38,51
101779,"2008",0,1
101779,"1994",0,1
101779,"1988",0,1
101779,"1992",0,1
101855,"2005",0,1
101855,"2001",1,4
101855,"2003",1,4
101868,"1995",9,16
101868,"1993",1,2
101868,"2007",4,5
101868,"1998",0,3
101868,"2001",0,1
101868,"2003",3,9
101868,"2005",2,11
101868,"2004",1,8
101868,"2009",1,2
101868,"2006",3,13
101868,"1992",0,1
101868,"2002",1,7
101868,"1996",1,13
101868,"1997",4,8
101885,"1998",4,7
101885,"1996",1,3
101885,"1999",14,25
101885,"2004",14,35
101885,"2002",25,48
101885,"2003",14,38
101885,"2007",4,6
101885,"2000",14,33
101885,"2005",18,37
101885,"2006",7,18
101885,"2001",19,44
101889,"1997",27,47
101889,"2005",1,1
101889,"1988",1,7
101889,"1991",22,46
101889,"1989",6,12
101889,"1995",32,56
101889,"2001",4,10
101889,"1993",19,39
101889,"1994",15,34
101889,"2003",0,2
101889,"2000",4,10
101889,"1992",25,48
101889,"1996",42,66
101889,"1998",21,44
101889,"2004",1,1
101889,"1999",8,24
101889,"1990",17,35
