"player_id","year","bp","bp_converted"
100644,"2023",646,238
100644,"2017",112,37
100644,"2020",352,153
100644,"2022",228,108
100644,"2019",NA,NA
100644,"2018",136,39
100644,"2014",73,24
100644,"2024",NA,NA
100644,"2021",108,33
100644,"2016",523,220
100644,"2013",9,3
100644,"2015",174,76
101868,"2006",31,14
101868,"1995",19,2
101868,"1997",49,15
101868,"2001",4,0
101868,"1992",6,3
101868,"2007",1,0
101868,"2003",63,18
101868,"1996",5,3
101868,"1998",11,3
101868,"2005",58,17
101868,"2002",24,10
101868,"2004",28,12
101868,"1993",5,2
101868,"2009",7,4
101885,"2006",NA,NA
101885,"2005",NA,NA
101885,"2004",NA,NA
101885,"2007",45,18
101885,"1998",29,9
101885,"2003",63,13
101885,"2002",60,13
101885,"2000",NA,NA
101885,"2001",149,57
101885,"1999",33,5
101885,"1996",12,3
101962,"2001",125,33
101962,"1996",112,48
101962,"2006",15,6
101962,"2004",NA,NA
101962,"2002",NA,NA
101962,"1994",145,35
101962,"2000",NA,NA
101962,"2003",NA,NA
101962,"2005",8,1
101962,"2008",NA,NA
101962,"2010",6,1
101962,"1992",NA,NA
101962,"1995",54,25
101962,"1990",NA,NA
101962,"2007",17,5
101962,"1991",NA,NA
101962,"1998",44,19
101962,"1993",NA,NA
101962,"1997",23,9
101962,"1999",136,45
102093,"2024",20,3
102106,"2005",368,146
102106,"1998",NA,NA
102106,"2003",NA,NA
102106,"1999",NA,NA
102106,"2000",NA,NA
102106,"2001",237,91
102106,"2002",NA,NA
102106,"2007",76,29
102106,"1995",9,1
102106,"2006",221,82
102106,"1997",126,51
102106,"2004",225,82
102106,"1994",22,6
102143,"2006",12,1
102143,"1997",14,1
102143,"2005",18,5
102143,"2001",42,15
102143,"2004",17,4
102143,"2003",55,23
102143,"2000",18,4
102143,"2002",41,12
102148,"2009",258,104
102148,"2004",NA,NA
102148,"1993",214,116
102148,"1995",345,131
102148,"2000",NA,NA
102148,"2008",186,78
102148,"1991",NA,NA
102148,"2010",4,2
102148,"2006",305,133
102148,"2001",NA,NA
102148,"1998",467,185
102148,"2005",335,115
102148,"1989",NA,NA
102148,"1994",219,113
102148,"1997",291,132
102148,"1999",NA,NA
102148,"2002",187,65
102148,"1990",NA,NA
102148,"2003",161,69
102148,"1992",NA,NA
102148,"2007",276,120
102148,"1996",103,47
102179,"1999",NA,NA
102179,"2005",126,42
102179,"2001",218,75
102179,"1996",13,4
102179,"2002",78,38
102179,"2003",242,78
102179,"2000",93,25
102179,"2007",33,10
102179,"2004",208,69
102179,"2006",19,8
102227,"2002",126,53
102227,"1999",189,89
102227,"1993",17,6
102227,"2004",171,81
102227,"1997",NA,NA
102227,"2006",5,1
102227,"1998",311,128
102227,"2005",41,19
102227,"1995",38,17
102227,"2001",NA,NA
102227,"1996",NA,NA
102227,"2003",407,172
102227,"2000",185,77
102231,"2001",165,74
102231,"2002",75,33
102231,"2000",41,17
102231,"2006",41,12
102231,"1995",3,2
102231,"1998",68,36
102231,"1994",5,3
102231,"1999",16,6
102231,"2004",61,32
102231,"2003",19,4
102231,"2005",120,45
102269,"2004",77,28
102269,"2006",23,2
102269,"2000",22,6
102269,"2003",42,19
102269,"2005",26,6
102269,"1996",10,3
102269,"1997",82,30
102269,"1995",10,1
102269,"1998",14,5
102269,"2001",11,6
102269,"2002",4,0
102282,"1998",6,2
102282,"2006",0,0
102282,"1994",2,0
102287,"1996",16,7
102287,"1997",314,139
102287,"2007",NA,NA
102287,"1999",92,36
102287,"2004",119,45
102287,"1993",1,0
102287,"2000",326,139
102287,"1995",58,23
102287,"2002",104,41
102287,"2005",51,21
102287,"2006",122,51
102287,"1998",270,92
102287,"2001",511,222
102287,"2003",189,69
102306,"2000",NA,NA
102306,"1999",109,42
102306,"2007",NA,NA
102306,"2001",17,6
102306,"2004",37,15
102306,"2005",34,10
102306,"2002",139,49
102306,"2003",3,1
102306,"1998",35,20
102374,"1994",627,259
