"player_id","year","double_fault","service_points"
100644,"2023",237,6356
100644,"2017",100,2000
100644,"2020",220,3421
100644,"2022",100,2189
100644,"2019",NA,NA
100644,"2018",77,1582
100644,"2014",35,645
100644,"2024",NA,NA
100644,"2021",94,1474
100644,"2016",309,5871
100644,"2013",7,39
100644,"2015",138,2671
101868,"2006",19,319
101868,"1995",41,527
101868,"1997",38,673
101868,"2001",7,64
101868,"1992",4,82
101868,"2007",6,87
101868,"2003",54,868
101868,"1996",3,45
101868,"1998",15,214
101868,"2005",55,890
101868,"2002",57,666
101868,"2004",40,605
101868,"1993",7,112
101868,"2009",18,124
101885,"2006",NA,NA
101885,"2005",NA,NA
101885,"2004",NA,NA
101885,"2007",35,611
101885,"1998",42,682
101885,"2003",117,1809
101885,"2002",148,2125
101885,"2000",NA,NA
101885,"2001",94,1609
101885,"1999",64,1122
101885,"1996",10,196
101962,"2001",79,1960
101962,"1996",38,1100
101962,"2006",2,109
101962,"2004",NA,NA
101962,"2002",NA,NA
101962,"1994",106,2289
101962,"2000",NA,NA
101962,"2003",NA,NA
101962,"2005",5,75
101962,"2008",NA,NA
101962,"2010",6,119
101962,"1992",NA,NA
101962,"1995",10,367
101962,"1990",NA,NA
101962,"2007",5,235
101962,"1991",NA,NA
101962,"1998",20,398
101962,"1993",NA,NA
101962,"1997",10,243
101962,"1999",100,2162
102093,"2024",6,199
102106,"2005",82,4045
102106,"1998",NA,NA
102106,"2003",NA,NA
102106,"1999",NA,NA
102106,"2000",NA,NA
102106,"2001",129,3126
102106,"2002",NA,NA
102106,"2007",29,988
102106,"1995",5,205
102106,"2006",82,2949
102106,"1997",37,1428
102106,"2004",77,2482
102106,"1994",8,173
102143,"2006",2,110
102143,"1997",8,171
102143,"2005",6,197
102143,"2001",27,547
102143,"2004",16,373
102143,"2003",40,683
102143,"2000",8,292
102143,"2002",29,563
102148,"2009",66,2855
102148,"2004",NA,NA
102148,"1993",57,1726
102148,"1995",142,3257
102148,"2000",NA,NA
102148,"2008",43,2257
102148,"1991",NA,NA
102148,"2010",1,108
102148,"2006",108,3555
102148,"2001",NA,NA
102148,"1998",119,4652
102148,"2005",51,3049
102148,"1989",NA,NA
102148,"1994",79,1991
102148,"1997",64,2274
102148,"1999",NA,NA
102148,"2002",74,2233
102148,"1990",NA,NA
102148,"2003",30,1181
102148,"1992",NA,NA
102148,"2007",68,3377
102148,"1996",68,1304
102179,"1999",NA,NA
102179,"2005",58,1560
102179,"2001",105,2662
102179,"1996",8,138
102179,"2002",31,994
102179,"2003",95,3044
102179,"2000",42,1516
102179,"2007",6,448
102179,"2004",91,3058
102179,"2006",5,312
102227,"2002",54,1287
102227,"1999",34,1458
102227,"1993",6,188
102227,"2004",61,1448
102227,"1997",NA,NA
102227,"2006",13,127
102227,"1998",137,3652
102227,"2005",52,816
102227,"1995",31,489
102227,"2001",NA,NA
102227,"1996",NA,NA
102227,"2003",169,3936
102227,"2000",30,1147
102231,"2001",35,1599
102231,"2002",11,982
102231,"2000",18,718
102231,"2006",7,454
102231,"1995",3,64
102231,"1998",15,682
102231,"1994",6,62
102231,"1999",6,150
102231,"2004",13,434
102231,"2003",7,212
102231,"2005",44,1609
102269,"2004",71,1215
102269,"2006",19,232
102269,"2000",20,309
