"player_id","year","first_serve","first_won"
100644,"2023",4481,3303
100644,"2017",1302,910
100644,"2020",2338,1800
100644,"2022",1580,1201
100644,"2019",NA,NA
100644,"2018",998,670
100644,"2014",353,218
100644,"2024",NA,NA
100644,"2021",973,705
100644,"2016",3613,2585
100644,"2013",14,7
100644,"2015",1630,1173
101868,"2006",208,159
101868,"1995",320,245
101868,"1997",409,303
101868,"2001",35,24
101868,"1992",50,35
101868,"2007",65,48
101868,"2003",537,408
101868,"1996",26,23
101868,"1998",123,84
101868,"2005",555,403
101868,"2002",370,269
101868,"2004",354,255
101868,"1993",68,57
101868,"2009",60,50
101885,"2006",NA,NA
101885,"2005",NA,NA
101885,"2004",NA,NA
101885,"2007",373,296
101885,"1998",365,311
101885,"2003",1002,755
101885,"2002",1181,941
101885,"2000",NA,NA
101885,"2001",863,718
101885,"1999",584,482
101885,"1996",110,83
101962,"2001",1247,837
101962,"1996",692,537
101962,"2006",66,53
101962,"2004",NA,NA
101962,"2002",NA,NA
101962,"1994",1338,897
101962,"2000",NA,NA
101962,"2003",NA,NA
101962,"2005",51,41
101962,"2008",NA,NA
101962,"2010",71,57
101962,"1992",NA,NA
101962,"1995",199,152
101962,"1990",NA,NA
101962,"2007",157,105
101962,"1991",NA,NA
101962,"1998",224,169
101962,"1993",NA,NA
101962,"1997",147,100
101962,"1999",1318,893
102093,"2024",129,99
102106,"2005",2330,1655
102106,"1998",NA,NA
102106,"2003",NA,NA
102106,"1999",NA,NA
102106,"2000",NA,NA
102106,"2001",1724,1210
102106,"2002",NA,NA
102106,"2007",587,405
102106,"1995",124,93
102106,"2006",1682,1165
102106,"1997",757,520
102106,"2004",1475,984
102106,"1994",72,51
102143,"2006",57,35
102143,"1997",105,81
102143,"2005",113,83
102143,"2001",305,227
102143,"2004",205,153
102143,"2003",366,287
102143,"2000",164,126
102143,"2002",327,244
102148,"2009",1610,1121
102148,"2004",NA,NA
102148,"1993",1051,708
102148,"1995",2018,1277
102148,"2000",NA,NA
102148,"2008",1306,902
102148,"1991",NA,NA
102148,"2010",65,43
102148,"2006",2059,1401
102148,"2001",NA,NA
102148,"1998",2545,1720
102148,"2005",1799,1178
102148,"1989",NA,NA
102148,"1994",1250,869
102148,"1997",1149,836
102148,"1999",NA,NA
102148,"2002",1309,834
102148,"1990",NA,NA
102148,"2003",760,557
102148,"1992",NA,NA
102148,"2007",1915,1366
102148,"1996",703,450
102179,"1999",NA,NA
102179,"2005",899,628
102179,"2001",1567,1134
102179,"1996",69,50
102179,"2002",628,507
102179,"2003",1784,1298
102179,"2000",885,618
102179,"2007",308,227
102179,"2004",1816,1333
102179,"2006",189,138
102227,"2002",761,558
102227,"1999",916,670
102227,"1993",120,72
102227,"2004",891,668
102227,"1997",NA,NA
102227,"2006",76,43
102227,"1998",2181,1530
102227,"2005",510,320
102227,"1995",274,193
102227,"2001",NA,NA
102227,"1996",NA,NA
102227,"2003",2424,1679
102227,"2000",740,500
102231,"2001",936,705
102231,"2002",619,410
102231,"2000",408,300
102231,"2006",275,197
102231,"1995",34,23
102231,"1998",427,320
102231,"1994",25,13
102231,"1999",79,68
102231,"2004",284,193
