"player_id","year","second_return","second_won"
100644,"2023",2315,1090
100644,"2017",601,230
100644,"2020",1224,562
100644,"2022",766,366
100644,"2019",NA,NA
100644,"2018",617,249
100644,"2014",231,98
100644,"2024",NA,NA
100644,"2021",504,219
100644,"2016",2114,949
100644,"2013",14,5
100644,"2015",896,400
101868,"2006",103,42
101868,"1995",192,70
101868,"1997",229,91
101868,"2001",12,3
101868,"1992",28,9
101868,"2007",25,2
101868,"2003",331,123
101868,"1996",16,3
101868,"1998",52,17
101868,"2005",291,115
101868,"2002",227,74
101868,"2004",179,63
101868,"1993",37,14
101868,"2009",59,21
101885,"2006",NA,NA
101885,"2005",NA,NA
101885,"2004",NA,NA
101885,"2007",200,81
101885,"1998",261,99
101885,"2003",609,178
101885,"2002",668,199
101885,"2000",NA,NA
101885,"2001",522,205
101885,"1999",359,99
101885,"1996",79,25
101962,"2001",697,249
101962,"1996",377,170
101962,"2006",41,22
101962,"2004",NA,NA
101962,"2002",NA,NA
101962,"1994",759,287
101962,"2000",NA,NA
101962,"2003",NA,NA
101962,"2005",21,10
101962,"2008",NA,NA
101962,"2010",41,15
101962,"1992",NA,NA
101962,"1995",130,77
101962,"1990",NA,NA
101962,"2007",69,26
101962,"1991",NA,NA
101962,"1998",140,69
101962,"1993",NA,NA
101962,"1997",81,35
101962,"1999",654,275
102093,"2024",67,27
102106,"2005",1438,612
102106,"1998",NA,NA
102106,"2003",NA,NA
102106,"1999",NA,NA
102106,"2000",NA,NA
102106,"2001",1097,465
102106,"2002",NA,NA
102106,"2007",390,149
102106,"1995",87,29
102106,"2006",1137,472
102106,"1997",521,240
102106,"2004",872,356
102106,"1994",80,35
102143,"2006",44,12
102143,"1997",60,18
102143,"2005",69,28
102143,"2001",166,69
102143,"2004",126,41
102143,"2003",259,114
102143,"2000",114,49
102143,"2002",203,86
102148,"2009",973,430
102148,"2004",NA,NA
102148,"1993",686,357
102148,"1995",1149,559
102148,"2000",NA,NA
102148,"2008",778,355
102148,"1991",NA,NA
102148,"2010",37,15
102148,"2006",1197,554
102148,"2001",NA,NA
102148,"1998",1802,858
102148,"2005",1046,506
102148,"1989",NA,NA
102148,"1994",770,398
102148,"1997",928,477
102148,"1999",NA,NA
102148,"2002",791,347
102148,"1990",NA,NA
102148,"2003",463,222
102148,"1992",NA,NA
102148,"2007",1214,528
102148,"1996",492,226
102179,"1999",NA,NA
102179,"2005",556,223
102179,"2001",1001,417
102179,"1996",51,21
102179,"2002",322,137
102179,"2003",1151,467
102179,"2000",484,170
102179,"2007",133,57
102179,"2004",1044,409
102179,"2006",113,33
102227,"2002",414,193
102227,"1999",611,301
102227,"1993",50,19
102227,"2004",595,294
102227,"1997",NA,NA
102227,"2006",43,21
102227,"1998",1353,601
102227,"2005",266,105
102227,"1995",199,105
102227,"2001",NA,NA
102227,"1996",NA,NA
102227,"2003",1471,663
102227,"2000",516,271
102231,"2001",549,264
102231,"2002",315,118
102231,"2000",266,91
102231,"2006",149,67
102231,"1995",20,4
102231,"1998",260,125
102231,"1994",17,10
102231,"1999",49,21
102231,"2004",150,82
102231,"2003",71,31
102231,"2005",595,240
102269,"2004",364,126
102269,"2006",97,33
102269,"2000",94,31
102269,"2003",195,83
102269,"2005",128,52
102269,"1996",104,41
102269,"1997",419,192
102269,"1995",46,18
102269,"1998",84,29
102269,"2001",56,16
102269,"2002",24,10
102282,"1998",25,13
102282,"2006",16,4
102282,"1994",12,3
102287,"1996",96,44
102287,"1997",1124,581
102287,"2007",NA,NA
102287,"1999",514,235
102287,"2004",542,238
102287,"1993",20,6
102287,"2000",1344,639
102287,"1995",181,88
102287,"2002",319,145
102287,"2005",190,95
102287,"2006",535,232
102287,"1998",1109,503
102287,"2001",1912,921
102287,"2003",731,313
102306,"2000",NA,NA
102306,"1999",556,228
102306,"2007",NA,NA
102306,"2001",62,27
102306,"2004",180,78
102306,"2005",142,72
102306,"2002",554,218
102306,"2003",18,8
102306,"1998",134,75
102374,"1994",2017,1005
102374,"1997",1333,709
102374,"2003",NA,NA
102374,"1999",NA,NA
102374,"2001",585,225
102374,"1995",758,414
102374,"1996",1163,602
102374,"2005",171,83
102374,"2002",NA,NA
102374,"1992",703,355
102374,"2000",NA,NA
102374,"2004",1069,481
102374,"1993",1173,541
102374,"1998",NA,NA
102381,"2007",258,134
102381,"1997",27,9
102381,"2000",91,43
102381,"2001",127,62
102381,"1999",21,6
102381,"2006",37,11
102381,"2003",283,114
102381,"2008",NA,NA
102381,"2004",86,36
102382,"1992",34,17
102382,"1994",14,7
102382,"2004",222,93
102382,"2001",110,49
102382,"2003",193,75
102382,"2012",13,3
102382,"2002",463,189
102382,"1993",25,8
102382,"2005",23,4
102401,"2003",840,334
102401,"1997",683,330
102401,"2001",256,98
102401,"2002",NA,NA
102401,"2000",216,75
102401,"1999",316,132
102401,"1995",NA,NA
102401,"1996",684,315
102401,"2005",145,51
102401,"1998",517,205
102434,"2004",NA,NA
102434,"1995",1386,661
102434,"2003",NA,NA
102434,"2010",23,6
102434,"2002",518,229
102434,"2007",1374,630
102434,"2001",98,34
102434,"1996",729,372
102434,"1997",1345,608
102434,"2009",263,115
102434,"2000",107,55
102434,"2006",1245,585
102434,"1998",1658,779
102434,"1994",333,148
102434,"1993",163,70
102434,"1999",NA,NA
102434,"2005",638,334
102434,"2008",525,212
102456,"2004",928,442
102456,"1996",2088,1048
102456,"1995",422,211
102456,"2007",116,54
102456,"1994",37,15
102456,"1997",NA,NA
102456,"1999",659,272
102456,"2003",NA,NA
102456,"1998",NA,NA
102456,"2000",836,376
102456,"2001",1371,651
102456,"2005",813,359
102456,"2002",1291,609
102494,"2006",378,166
102494,"2003",328,163
102494,"2002",193,90
102494,"2000",506,233
102494,"1999",55,22
102494,"2001",382,165
102494,"2004",325,147
102494,"1997",36,22
102494,"2005",549,220
102497,"1999",90,39
102497,"2001",25,11
102497,"1995",23,7
102497,"2005",19,6
102497,"1996",35,8
102497,"2002",78,38
102497,"1997",14,4
102497,"2000",10,0
102512,"2008",270,111
102512,"2003",62,27
102512,"1999",65,33
102512,"2009",47,25
102512,"2000",34,12
102512,"2007",124,47
102512,"2006",21,11
102539,"2003",95,54
102539,"1998",NA,NA
102539,"2002",NA,NA
102539,"1996",1063,592
102539,"2005",208,85
102539,"1997",NA,NA
102539,"1995",620,282
102539,"1993",26,11
102539,"2007",159,64
102539,"1999",476,239
102539,"2001",NA,NA
102539,"2004",687,294
102539,"2000",455,190
102539,"2006",28,17
102539,"1994",27,8
102548,"1999",NA,NA
102548,"2005",129,67
102548,"2006",419,202
102548,"2000",NA,NA
102548,"2004",42,11
102548,"1996",25,10
102548,"2003",64,31
102548,"1997",589,252
102548,"1998",1265,602
102548,"2002",260,108
102548,"2001",NA,NA
102548,"2007",11,5
102558,"2005",52,25
102558,"2004",54,25
102558,"2008",NA,NA
102558,"2007",NA,NA
102558,"1999",73,36
102558,"2000",86,32
102558,"2003",341,142
102558,"2002",47,16
102558,"2001",51,18
102565,"2005",523,190
102565,"2003",503,175
102565,"2004",124,47
102565,"2006",NA,NA
102565,"2007",251,83
102565,"2002",304,112
102567,"1996",25,10
102567,"1998",NA,NA
102567,"2002",359,144
102567,"2007",175,80
102567,"2008",124,45
102567,"2000",NA,NA
102567,"1999",185,73
102567,"2006",129,58
102567,"2004",15,4
