"year","player_id","total_points","total_won"
1984,101404,NA,NA
1985,101404,NA,NA
1986,101404,NA,NA
1986,101736,NA,NA
1987,101404,NA,NA
1987,101736,NA,NA
1988,101404,NA,NA
1988,101736,NA,NA
1988,101889,NA,NA
1989,101404,NA,NA
1989,101736,NA,NA
1989,101889,NA,NA
1989,102110,NA,NA
1989,102148,NA,NA
1989,102358,NA,NA
1989,200617,NA,NA
1990,101404,NA,NA
1990,101736,NA,NA
1990,101889,269,136
1990,101962,NA,NA
1990,101965,NA,NA
1990,102148,382,190
1990,102233,NA,NA
1990,102358,NA,NA
1990,200617,NA,NA
1991,101404,7201,3728
1991,101736,8244,4249
1991,101889,6746,3375
1991,101962,NA,NA
1991,101965,7220,3630
1991,102035,94,35
1991,102110,332,157
1991,102148,6513,3284
1991,102233,532,262
1991,102318,NA,NA
1991,102344,199,91
1991,102358,1475,741
1991,200617,NA,NA
1992,101404,8840,4550
1992,101736,8221,4317
1992,101868,154,69
1992,101889,7640,3852
1992,101962,483,247
1992,101965,11797,6113
1992,102035,87,32
1992,102110,603,284
1992,102148,6780,3419
1992,102202,2243,1153
1992,102233,NA,NA
1992,102257,593,295
1992,102286,NA,NA
1992,102318,132,57
1992,102344,120,55
1992,102358,3464,1764
1992,102374,3784,1877
1992,102382,130,61
1992,102615,208,101
1992,200617,NA,NA
1993,101404,14672,7833
1993,101736,6169,3343
1993,101868,229,115
1993,101889,6360,3165
1993,101962,4867,2427
1993,101965,10124,5201
1993,102035,1806,874
1993,102110,1277,629
1993,102148,7520,3755
1993,102202,6567,3268
1993,102227,366,183
1993,102233,670,338
1993,102257,4638,2346
1993,102271,NA,NA
1993,102286,121,48
1993,102287,110,42
1993,102300,314,126
1993,102344,609,282
1993,102358,6133,3042
1993,102374,6404,3228
1993,102382,142,62
1993,102434,965,448
1993,102538,NA,NA
1993,102539,115,47
1993,102562,339,158
1993,102563,553,282
1993,102610,744,376
1993,102615,107,47
1993,102667,94,35
1993,102834,171,68
1993,102881,285,131
1993,103009,108,46
1993,103029,NA,NA
1993,200009,NA,NA
1993,200617,NA,NA
1994,101404,12032,6324
1994,101736,10299,5505
1994,101889,6023,2976
1994,101962,6381,3088
1994,101965,14652,7680
1994,102035,9282,4716
1994,102106,365,171
1994,102110,1200,583
1994,102148,6587,3359
1994,102202,6025,3038
1994,102231,122,52
1994,102233,779,373
1994,102257,8655,4349
1994,102271,145,65
1994,102282,83,30
1994,102286,658,335
1994,102300,204,96
1994,102318,331,156
1994,102344,3779,1866
1994,102358,6553,3306
1994,102374,11118,5699
1994,102382,117,50
1994,102434,3506,1728
1994,102450,1169,567
1994,102456,171,82
1994,102538,NA,NA
1994,102539,104,41
1994,102562,174,76
1994,102563,481,225
1994,102610,4567,2245
1994,102694,363,175
1994,102834,NA,NA
1994,102839,NA,NA
1994,102851,240,112
1994,102854,436,211
1994,102869,217,107
1994,102881,232,117
1994,102882,551,249
1994,102887,NA,NA
1994,102905,99,38
1994,103009,411,202
1994,103017,46,13
1994,103029,87,31
1994,103060,NA,NA
1994,103182,115,48
1994,200009,NA,NA
1994,200617,NA,NA
1994,200748,NA,NA
1995,101404,15601,8392
1995,101736,12253,6714
1995,101868,2159,1092
1995,101889,8403,4190
1995,101962,1597,792
1995,101965,13131,6792
1995,102035,9811,4956
1995,102106,415,188
1995,102110,1783,856
1995,102148,6583,3189
1995,102202,7734,3897
1995,102227,934,456
1995,102231,112,48
1995,102233,1664,763
1995,102257,9733,5000
1995,102269,219,91
1995,102271,1035,488
1995,102286,1299,619
1995,102287,962,484
1995,102300,342,162
1995,102318,613,295
1995,102344,6894,3408
1995,102358,12125,6408
1995,102374,7637,3847
1995,102401,4529,2223
1995,102405,278,130
1995,102434,7623,3822
1995,102450,2364,1160
1995,102456,2270,1168
1995,102497,82,28
1995,102538,NA,NA
1995,102539,7354,3734
1995,102562,1959,956
1995,102563,557,258
1995,102610,8357,4268
1995,102667,89,37
1995,102694,1095,539
1995,102703,273,134
1995,102783,146,67
1995,102834,169,81
1995,102839,748,404
1995,102845,2424,1220
1995,102854,4943,2456
1995,102863,224,97
1995,102869,987,469
1995,102881,313,154
1995,102882,6636,3380
1995,102887,NA,NA
1995,102925,560,268
1995,102956,NA,NA
1995,102998,124,56
1995,103009,358,171
1995,103017,792,400
1995,103018,NA,NA
1995,103029,102,43
1995,103060,537,251
1995,103110,108,46
1995,103133,548,257
1995,103151,578,278
1995,103166,NA,NA
1995,103181,317,150
1995,103182,110,44
1995,200009,NA,NA
1995,200067,NA,NA
1995,200617,NA,NA
1995,200748,NA,NA
1995,201284,NA,NA
1996,101404,13684,7233
1996,101736,7926,4051
1996,101868,1764,806
1996,101885,401,201
1996,101889,9616,4854
1996,101962,5372,2616
1996,101965,10890,5604
1996,102035,9163,4613
1996,102110,3654,1783
1996,102148,2566,1229
1996,102179,285,134
1996,102202,6444,3193
