"player_id","name_first","name_last","hand","dob","ioc","height"
201329,"Vera","Zvonareva","R",19840907,"RUS",172
201357,"Virginie","Pichet","R",19830128,"FRA",NA
201388,"Sophie","Ferguson","R",19860319,"AUS",177
201389,"Zuzana","Kucova","R",19820626,"SVK",NA
201414,"Michaella","Krajicek","R",19890109,"NED",177
201422,"Mailyne","Andrieux","R",19871201,"FRA",NA
201426,"Pauline","Parmentier","R",19860131,"FRA",175
201427,"Alize","Cornet","R",19900122,"FRA",173
201428,"Mathilde","Johansson","R",19850428,"FRA",173
201432,"Rebecca","Llewellyn","R",19851005,"GBR",165
201442,"Yung Jan","Chan","R",19890817,"TPE",170
201443,"Alexa","Glatch","R",19890910,"USA",183
201463,"Anda","Perianu","R",19800407,"ROU",170
201469,"Melanie","South","R",19860503,"GBR",175
201471,"Naomi","Cavaday","L",19890424,"GBR",170
201475,"Ahsha","Rolle","R",19850321,"USA",172
201476,"Lauren","Albanese","R",19891001,"USA",NA
201478,"Varvara","Lepchenko","L",19860521,"USA",180
201483,"Madison","Brengle","R",19900403,"USA",168
201484,"Sandra","Zahlavova","U",19851010,"CZE",NA
201487,"Jessica","Moore","R",19900816,"AUS",167
201491,"Olivia","Sanchez","R",19821117,"FRA",172
201492,"Andrea","Petkovic","R",19870909,"GER",180
201493,"Angelique","Kerber","L",19880118,"GER",173
201498,"Karin","Knapp","R",19870628,"ITA",180
201499,"Anastasia","Pavlyuchenkova","R",19910703,"RUS",177
201504,"Julia","Goerges","R",19881102,"GER",180
201509,"Ashley","Weinhold","R",19890620,"USA",165
201513,"Sabine","Lisicki","R",19890922,"GER",178
201514,"Sorana","Cirstea","R",19900407,"ROU",176
201515,"Alisa","Kleybanova","R",19890715,"RUS",181
201516,"Evgeniya","Rodina","R",19890204,"RUS",170
201517,"Magdalena","Rybarikova","R",19881004,"SVK",180
201519,"Violette","Huck","L",19880318,"FRA",170
201525,"Eva","Hrdinova","R",19840615,"CZE",NA
201526,"Julie","Coin","R",19821202,"FRA",172
201527,"Stefanie","Voegele","R",19900310,"SUI",170
201529,"Kristie","Ahn","R",19920615,"USA",165
201530,"Gail","Brodsky","R",19910605,"USA",165
201532,"Anastasia","Pivovarova","R",19900616,"RUS",181
201533,"Shuai","Zhang","R",19890121,"CHN",177
201534,"Asia","Muhammad","R",19910404,"USA",178
201535,"Coco","Vandeweghe","R",19911206,"USA",185
201536,"Monika","Wejnert","U",19920406,"AUS",NA
201538,"Isabella","Holland","R",19920102,"AUS",NA
201539,"Christina","Mchale","R",19920511,"USA",170
201540,"Kristina","Mladenovic","R",19930514,"FRA",184
201542,"Olivia","Rogowska","R",19910607,"AUS",175
201543,"Emelyn","Starr","R",19891111,"AUS",NA
201544,"Oxana","Lyubtsova","R",19850913,"UKR",157
201545,"Anastasija","Sevastova","R",19900413,"LAT",169
201548,"Ajla","Tomljanovic","R",19930507,"AUS",180
201549,"Petra","Martic","R",19910119,"CRO",181
201551,"Arantxa","Rus","L",19901213,"NED",180
201552,"Mallory","Cecil","R",19900718,"USA",NA
201553,"Lenka","Wienerova","R",19880423,"SVK",NA
201554,"Vitalia","Diatchenko","R",19900802,"RUS",170
201555,"Polona","Hercog","R",19910120,"SLO",182
201556,"Lucie","Hradecka","R",19850521,"CZE",177
201557,"Corinna","Dentoni","R",19890730,"ITA",NA
201558,"Lauren","Embree","R",19910110,"USA",NA
201559,"Irena","Pavlovic","R",19880928,"FRA",178
201561,"Claire","Feuerstein","L",19860228,"FRA",178
201562,"Silvia","Soler Espinosa","R",19871119,"ESP",169
201565,"Katarzyna","Piter","R",19910216,"POL",173
201566,"Agnes","Szatmari","R",19870628,"ROU",NA
201567,"Alexandra","Dulgheru","R",19890530,"ROU",172
201568,"Kristina","Kucova","R",19900523,"SVK",163
201572,"Regina","Kulikova","R",19890130,"RUS",183
201573,"Laura","Robson","L",19940121,"GBR",180
201575,"Hilary","Barte","U",19881117,"USA",NA
201577,"Heidi","El Tabakh","R",19860925,"CAN",180
201578,"Kai Chen","Chang","R",19910113,"TPE",167
201579,"Yurika","Sema","L",19861225,"JPN",168
201580,"Xinyun","Han","L",19900530,"CHN",172
201582,"Jing Jing","Lu","R",19890505,"CHN",170
201585,"Sloane","Stephens","R",19930320,"USA",170
201586,"Heather","Watson","R",19920519,"GBR",170
201588,"Anna","Tatishvili","R",19900203,"GEO",171
201590,"Alison","Riske Amritraj","R",19900703,"USA",173
201592,"Beatriz","Garcia Vidagany","U",19881117,"ESP",NA
201593,"Irina Camelia","Begu","R",19900826,"ROU",181
201595,"Misaki","Doi","L",19910429,"JPN",159
201597,"Kurumi","Nara","R",19911230,"JPN",155
201600,"Jamie","Hampton","R",19900108,"USA",173
201601,"Chelsey","Gullickson","R",19900829,"USA",180
201602,"Beatrice","Capra","R",19920406,"USA",175
201603,"Shelby","Rogers","R",19921013,"USA",175
201604,"Irina","Falconi","R",19900504,"USA",163
201605,"Mandy","Minella","R",19851122,"LUX",180
201606,"Rebecca","Marino","R",19901216,"CAN",183
201607,"Sally","Peers","R",19910601,"AUS",162
201610,"Zarina","Diyas","R",19931018,"KAZ",172
201611,"Daria","Saville","R",19940305,"AUS",166
201612,"Junri","Namigata","R",19820705,"JPN",170
201613,"Arina","Rodionova","R",19891215,"AUS",168
201614,"Caroline","Garcia","R",19931016,"FRA",177
201615,"Lesia","Tsurenko","R",19890530,"UKR",174
201616,"Lauren","Davis","R",19931009,"USA",157
201617,"Ana","Vrljic","R",19840801,"CRO",NA
201618,"Fatma","Al Nabhani","R",19910520,"OMA",170
201619,"Madison","Keys","R",19950217,"USA",178
201621,"Mona","Barthel","R",19900711,"GER",185
201631,"Nicha","Lertpitaksinchai","R",19910814,"THA",174
201638,"Estrella","Cabeza Candela","R",19870220,"ESP",173
201639,"Yevheniia","Savranska","U",19840220,"UKR",NA
201640,"Maria Teresa","Torro Flor","R",19920502,"ESP",173
201643,"Eva","Fernandez Brugues","R",19860505,"ESP",NA
201648,"Naomi","Broady","R",19900228,"GBR",189
201649,"Lenka","Jurikova","R",19900811,"SVK",NA
201650,"Irina","Buryachok","R",19860705,"UKR",NA
201654,"Sandra","Roma","L",19900331,"SWE",NA
201655,"Anna","Floris","L",19820515,"ITA",NA
201657,"Nastja","Kolar","R",19940715,"SLO",176
201658,"Carmen","Klaschka","R",19870108,"GER",NA
201660,"Tereza","Hladikova","R",19880414,"CZE",NA
201661,"Tina","Schiechtl","R",19840115,"AUT",170
201662,"Karolina","Pliskova","R",19920321,"CZE",184
201668,"Alexandra","Panova","R",19890302,"RUS",179
201671,"Ksenia","Lykina","R",19900619,"RUS",165
201674,"Sabina","Sharipova","R",19940904,"UZB",174
201679,"Varatchaya","Wongteanchai","R",19890907,"THA",169
201687,"Lina","Bennani","R",19910704,"MAR",NA
201688,"Claire","De Gubernatis","L",19860718,"FRA",NA
201692,"Michaela","Pochabova","U",19891017,"SVK",NA
201693,"Timea","Babos","R",19930510,"HUN",179
201695,"Anna","Brazhnikova","R",19911004,"SWE",165
201696,"Laura","Siegemund","R",19880304,"GER",168
201697,"Kristyna","Pliskova","L",19920321,"CZE",184
201699,"Martina","Caregaro","R",19920519,"ITA",165
201701,"Basak","Eraydin","R",19940621,"TUR",NA
201702,"Malou","Ejdesgaard","R",19910313,"DEN",NA
201703,"Yi Fan","Xu","L",19880808,"CHN",165
201704,"Nadejda","Guskova","R",19920110,"RUS",NA
201705,"Alina","Abdurakhimova","R",19950323,"UZB",173
201707,"Sachie","Ishizu","R",19920903,"JPN",164
201709,"Yulia","Putintseva","R",19950107,"KAZ",163
202373,"Ekaterina","Afinogenova","R",19870115,"RUS",NA
202377,"Brittany","Augustine","R",19910919,"USA",NA
202379,"Chieh Yu","Hsu","L",19920114,"USA",170
202381,"Ksenia","Milevskaya","R",19900809,"BLR",172
202383,"Eva Maria","Hoch","U",19840806,"AUT",NA
202391,"Akiko","Yonemura","U",19840125,"JPN",NA
202397,"Lamia","Essaadi","R",19791003,"MAR",NA
202398,"Veronika","Chvojkova","R",19870331,"CZE",NA
202400,"Anna","Fitzpatrick","R",19890406,"GBR",173
202401,"Amanda","Elliott","R",19891101,"GBR",175
202402,"Eloisa Maria","Compostizo De Andres","L",19880808,"ESP",NA
202404,"Maite","Gabarrus Alonso","R",19890202,"ESP",NA
202405,"Alexis","King","L",19830331,"USA",157
202406,"Natasa","Zoric","R",19891127,"SRB",NA
202407,"Palma","Kiraly","R",19910202,"HUN",NA
202408,"Amanda","Fink","U",19861204,"USA",NA
202414,"Catherine","Harrison","R",19940409,"USA",NA
202416,"Nungnadda","Wannasuk","R",19891111,"THA",165
202417,"Tetiana","Luzhanska","R",19840904,"USA",NA
202418,"Lara","Arruabarrena","R",19920320,"ESP",166
202420,"An Sophie","Mestach","R",19940307,"BEL",170
202421,"Alison","Van Uytvanck","R",19940326,"BEL",173
202422,"Shuko","Aoyama","R",19871219,"JPN",154
202423,"Sarah","Gronert","U",19860706,"GER",NA
202424,"Conny","Perrin","R",19901225,"SUI",174
202425,"Samantha","Murray","R",19871009,"GBR",178
202426,"Julia","Boserup","R",19910909,"USA",181
202427,"Johanna","Konta","R",19910517,"GBR",180
202428,"Kiki","Bertens","R",19911210,"NED",182
202429,"Camila","Giorgi","R",19911230,"ITA",168
202430,"Alize","Lim","R",19900713,"FRA",173
202431,"Tetyana","Arefyeva","R",19910309,"UKR",NA
202433,"Anna Giulia","Remondina","R",19890601,"ITA",NA
202434,"Aleksandra","Krunic","R",19930315,"SRB",163
202435,"Vanda","Lukacs","U",19921208,"HUN",NA
202437,"Anastasia","Grymalska","R",19900712,"ITA",NA
202439,"Silvia","Albano","R",19940912,"ITA",NA
202440,"Paula","Ormaechea","R",19920928,"ARG",170
