tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner1_id,winner2_id,winner_seed,winner_entry,loser1_id,loser2_id,loser_seed,loser_entry,score,best_of,round,winner1_name,winner1_hand,winner1_ht,winner1_ioc,winner1_age,winner2_name,winner2_hand,winner2_ht,winner2_ioc,winner2_age,loser1_name,loser1_hand,loser1_ht,loser1_ioc,loser1_age,loser2_name,loser2_hand,loser2_ht,loser2_ioc,loser2_age,winner1_rank,winner1_rank_points,winner2_rank,winner2_rank_points,loser1_rank,loser1_rank_points,loser2_rank,loser2_rank_points,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2005-1536,Madrid Masters,Hard,48,M,20051017,300,101956,102110,3,,102233,102800,,,3-6 6-3 6-2,3,F,Mark Knowles,R,190,BAH,34.11909651,Daniel Nestor,L,190,CAN,33.11704312,Leander Paes,R,178,IND,32.3340178,Nenad Zimonjic,R,190,SRB,29.36892539,7,3340,8,3200,13,2320,11,2457,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,299,101956,102110,3,,102286,102061,2,,6-4 7-6,3,SF,Mark Knowles,R,190,BAH,34.11909651,Daniel Nestor,L,190,CAN,33.11704312,Wayne Black,R,170,ZIM,31.92334018,Kevin Ullyett,R,178,ZIM,33.4017796,7,3340,8,3200,5,3985,6,3935,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,298,102233,102800,,,103566,102148,4,,7-6 7-5,3,SF,Leander Paes,R,178,IND,32.3340178,Nenad Zimonjic,R,190,SRB,29.36892539,Michael Llodra,L,190,FRA,25.41546886,Fabrice Santoro,R,178,FRA,32.85420945,13,2320,11,2457,9,2725,12,2394,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,297,102286,102061,2,,101885,103080,,,6-4 6-4,3,QF,Wayne Black,R,170,ZIM,31.92334018,Kevin Ullyett,R,178,ZIM,33.4017796,Wayne Arthurs,L,190,AUS,34.58453114,Paul Hanley,R,183,AUS,27.92881588,5,3985,6,3935,14,2305,10,2560,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,296,101956,102110,3,,103970,104269,,WC,6-3 6-1,3,QF,Mark Knowles,R,190,BAH,34.11909651,Daniel Nestor,L,190,CAN,33.11704312,David Ferrer,R,175,ESP,23.54277892,Fernando Verdasco,L,188,ESP,21.92197125,7,3340,8,3200,56,1010,79,755,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,295,103566,102148,4,,103484,104053,,WC,W/O,3,QF,Michael Llodra,L,190,FRA,25.41546886,Fabrice Santoro,R,178,FRA,32.85420945,James Blake,R,185,USA,25.80424367,Andy Roddick,R,188,USA,23.1321013,9,2725,12,2394,130,425,672,45,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,294,102233,102800,,,102405,102093,,,7-6 7-5,3,QF,Leander Paes,R,178,IND,32.3340178,Nenad Zimonjic,R,190,SRB,29.36892539,Mahesh Bhupathi,R,185,IND,31.36208077,Martin Damm,R,188,CZE,33.21013005,13,2320,11,2457,15,2240,17,2095,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,293,102405,102093,,,103184,103185,1,,6-3 6-7 6-2,3,R16,Mahesh Bhupathi,R,185,IND,31.36208077,Martin Damm,R,188,CZE,33.21013005,Bob Bryan,L,193,USA,27.46885695,Mike Bryan,R,190,USA,27.46885695,15,2240,17,2095,3,5625,3,5625,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,292,102286,102061,2,,103786,103602,,,6-1 4-6 6-3,3,R16,Wayne Black,R,170,ZIM,31.92334018,Kevin Ullyett,R,178,ZIM,33.4017796,Nikolay Davydenko,R,178,RUS,24.37508556,Fernando Gonzalez,R,183,CHI,25.2183436,5,3985,6,3935,46,1095,30,1465,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,291,101956,102110,3,,102388,102751,,,6-3 6-4,3,R16,Mark Knowles,R,190,BAH,34.11909651,Daniel Nestor,L,190,CAN,33.11704312,Simon Aspelin,R,185,SWE,31.43600274,Todd Perry,R,175,AUS,29.58521561,7,3340,8,3200,18,2075,19,2075,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,290,103566,102148,4,,102886,102904,,,6-3 2-6 6-3,3,R16,Michael Llodra,L,190,FRA,25.41546886,Fabrice Santoro,R,178,FRA,32.85420945,Frantisek Cermak,R,193,CZE,28.92265572,Leos Friedl,R,183,CZE,28.79123888,9,2725,12,2394,24,1720,21,1970,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,289,101885,103080,,,102968,103544,,,6-3 6-7 6-4,3,R16,Wayne Arthurs,L,190,AUS,34.58453114,Paul Hanley,R,183,AUS,27.92881588,Jonathan Erlich,R,180,ISR,28.5338809,Andy Ram,R,180,ISR,25.51950719,14,2305,10,2560,16,2096,20,2045,,,,,,,,,,,,,,,,,,,
2005-1536,Madrid Masters,Hard,48,M,20051017,288,103484,104053,,WC,102563,103018,,,7-6 3-6 6-4,3,R16,James Blake,R,185,USA,25.80424367,Andy Roddick,R,188,USA,23.1321013,Thomas Johansson,R,180,SWE,30.56810404,Max Mirnyi,R,196,BLR,28.28199863,130,425,672,45,114,465,2,5630,,,,,,,,,,,,,,,,,,,
