"player_id","name_first","name_last","hand","dob","ioc","height","Rating","Deviation","Volatility"
100644,"Alexander","Zverev","R",19970420,"GER",198,2083.76652142568,59.011283420401,0.0601503903944405
101736,"Andre","Agassi","R",19700429,"USA",180,1992.92743035461,79.9475052612902,0.0602473657692754
101868,"Dick","Norman","L",19710301,"BEL",203,1654.96417157511,143.531035994181,0.0600134965160941
101885,"Wayne","Arthurs","L",19710318,"AUS",190,1757.20309322599,92.5886482408483,0.0598995812616699
101889,"Todd","Woodbridge","R",19710402,"AUS",178,1677.94324238798,157.955864111687,0.0598398886411345
101962,"Younes","El Aynaoui","R",19710912,"MAR",193,1792.52887356394,131.26723158718,0.0599318341465179
101979,"Ricardo","Mena","R",19711022,"PAR",NA,1605.58289942118,250.406586143634,0.0600022268794509
102033,"Abdelhak","Hameurlaine","R",19720319,"ALG",NA,1256.03058675294,247.967714498085,0.0599927248085785
102035,"Jonas","Bjorkman","R",19720323,"SWE",183,1720.54488968044,80.9212760030819,0.059642273614638
102093,"Martin","Damm","L",20030930,"USA",203,1955.24736219837,226.536493334914,0.0600038232974479
102106,"Davide","Sanguinetti","R",19720825,"ITA",188,1670.90775308045,90.8972844800178,0.0601180916767869
102107,"Jan Frode","Andersen","L",19720829,"NOR",190,1714.62928777259,136.977520165927,0.0599855305226834
102143,"Nicolas","Thomann","R",19721129,"FRA",183,1638.28095243619,130.638329950879,0.0600092477570244
102148,"Fabrice","Santoro","R",19721209,"FRA",178,1759.94719701998,76.4707732687892,0.0597364090482196
102179,"Antony","Dupuis","R",19730224,"FRA",185,1768.80506944082,98.5856042800072,0.0599725295948895
102202,"Kenneth","Carlsen","L",19730417,"DEN",190,1663.58912133801,105.280691225981,0.0597102902241803
102227,"Sargis","Sargsian","R",19730603,"ARM",180,1690.14933357203,92.6165181372226,0.0599494903097022
102231,"Alex","Calatrava","R",19730614,"ESP",190,1590.74296859446,102.007721552421,0.0599821829055079
102233,"Leander","Paes","R",19730617,"IND",178,1671.71330951771,175.89024040447,0.0600875340079901
102257,"Greg","Rusedski","L",19730906,"GBR",193,1800.69377645877,72.7577946023375,0.0598398417014692
102269,"Jeff","Salzenstein","L",19731014,"USA",185,1592.30824662371,112.115691685815,0.060000296594704
102286,"Wayne","Black","R",19731114,"ZIM",170,1800.59475635386,140.798519721353,0.0599465388960848
102287,"Albert","Portas","R",19731115,"ESP",188,1687.26468249126,90.4544226461224,0.0599845545605984
102300,"Gouichi","Motomura","R",19731225,"JPN",173,1533.73230237124,110.278975082002,0.059960206206084
102306,"Michael","Kohlmann","R",19740111,"GER",188,1637.78263806568,134.469837728627,0.0599757849342181
102318,"Andrei","Pavel","R",19740127,"ROU",183,1595.81296787401,109.838152966465,0.0599047124824812
102344,"Karol","Kucera","R",19740304,"SVK",188,1796.36964237181,89.0398249054126,0.0600215632848288
102358,"Thomas","Enqvist","R",19740313,"SWE",190,1725.60573278709,85.5775520534492,0.0602443750422791
102374,"Alex","Corretja","R",19740411,"ESP",180,1698.11595823175,81.484567617936,0.0600827579170749
102381,"Werner","Eschauer","R",19740426,"AUT",188,1449.10058362687,97.1773109202653,0.0599959117302261
102434,"Vincent","Spadea","R",19740719,"USA",183,1604.93505574953,101.803327773575,0.0597619983224692
102450,"Tim","Henman","R",19740906,"GBR",185,1804.48352393941,80.25470382923,0.0596905121344332
102456,"Felix","Mantilla","R",19740923,"ESP",180,1701.82025034432,113.459320717079,0.0599006991145504
102494,"Tomas","Behrend","R",19741212,"GER",193,1585.13974306784,83.0734943477906,0.0599892556328644
102512,"Joseph","Sirianni","R",19750117,"AUS",175,1647.16293663905,122.314043053822,0.0599946204637559
102538,"Tuomas","Ketola","R",19750221,"FIN",185,1550.90367912346,115.663523936249,0.0599779383161748
102539,"Bohdan","Ulihrach","R",19750223,"CZE",188,1634.84208618192,119.870842474031,0.0598198318591527
102548,"Juan Antonio","Marin","R",19750302,"CRC",175,1533.63536567481,106.477075173664,0.0599830726332129
102558,"Eric","Taino","L",19750318,"PHI",175,1647.80818107114,146.800352656563,0.0599837799402058
102562,"Jiri","Novak","R",19750322,"CZE",190,1825.07991076377,68.8508277110884,0.0598631857252819
102563,"Thomas","Johansson","R",19750324,"SWE",180,1779.46543650083,83.4608329058397,0.0600055822718389
102565,"Alexander","Waske","R",19750331,"GER",188,1646.70194816529,94.2774662333291,0.0599350988054926
102567,"George","Bastl","R",19750401,"SUI",183,1604.81884557486,114.086027820019,0.0599626075665122
102571,"Gregory","Carraz","R",19750409,"FRA",190,1667.73869674962,87.8093526246704,0.0599524931059366
102610,"Albert","Costa","R",19750625,"ESP",180,1774.28023352872,83.9822737165163,0.060141882131827
102615,"Dennis","Van Scheppingen","R",19750705,"NED",185,1655.85433802948,126.172186169376,0.0599703671050883
102630,"Slimane","Saoudi","L",19750723,"ALG",NA,1402.92156064452,136.218499733263,0.0599836797502758
102642,"Cyril","Saulnier","R",19750816,"FRA",190,1732.02306174202,89.0104520991727,0.0599031479137699
102667,"Satoshi","Iwabuchi","L",19751007,"JPN",175,1549.25960514769,152.600695225757,0.0599882949436596
102694,"Lars","Burgsmuller","R",19751206,"GER",183,1558.07981221636,96.5453213845856,0.0598981426804058
102696,"Guillaume","Couillard","R",19751210,"MON",NA,1319.93337298488,187.695863270111,0.060000361285671
102703,"Hyung Taik","Lee","R",19760103,"KOR",180,1715.71872194931,98.499461587269,0.0599059860136598
102720,"Tomas","Zib","R",19760131,"CZE",178,1638.78895174542,120.749774442608,0.0599509080027886
102730,"Ivo","Heuberger","R",19760219,"SUI",188,1566.69325760935,103.033020431038,0.0599849123559143
102737,"Gergely","Kisgyorgy","R",19760308,"HUN",NA,1573.74006937393,164.891379724346,0.0599999284499086
102780,"Frederic","Niemeyer","R",19760424,"CAN",190,1610.94796765161,122.259429741718,0.0599805819245503
102783,"Rainer","Schuettler","R",19760425,"GER",180,1685.99342184217,80.0125038773794,0.0599203360998654
102785,"Glenn","Weiner","R",19760427,"USA",188,1605.47538795158,113.967540890839,0.0599818227070132
102788,"Jan","Vacek","R",19760510,"CZE",198,1720.7358588575,149.27036127509,0.0599969711115228
102800,"Nenad","Zimonjic","R",19760604,"SRB",190,1436.22070011015,221.910999513859,0.0600129704501711
102811,"Dusan","Vemic","R",19760617,"SRB",190,1673.13381094153,124.8615971766,0.0599686013679764
102821,"Cecil","Mamiit","R",19760627,"PHI",173,1348.36608154972,125.03932077136,0.0599787453221036
102834,"Paul","Goldstein","R",19760804,"USA",178,1703.92790098961,81.1797608253751,0.0598103750332042
102839,"Nicolas","Lapentti","R",19760813,"ECU",188,1674.90815469361,92.2854516233037,0.0599146462893632
102843,"Suwandi","Suwandi","R",19760821,"INA",178,1487.42243091525,157.333662112904,0.060014993424716
102845,"Carlos","Moya","R",19760827,"ESP",190,1694.56335154536,101.429400945874,0.0600004773593
102851,"Giorgio","Galimberti","R",19760905,"ITA",180,1555.03095744039,130.047809028087,0.0599819555015528
102854,"Sjeng","Schalken","R",19760908,"NED",193,1778.14232862684,80.2253072218284,0.0602042394644309
102856,"Gustavo","Kuerten","R",19760910,"BRA",190,1582.08475322237,116.381101141498,0.0601842232922995
102860,"Agustin","Calleri","R",19760914,"ARG",183,1695.52880095427,82.3624692479464,0.0599305649454473
102863,"Takao","Suzuki","R",19760920,"JPN",175,1841.6540287436,132.540428528704,0.0600136445405787
102869,"Galo","Blanco","R",19761008,"ESP",173,1639.88350045971,112.015530644021,0.0599468974113102
102880,"Alexander","Popp","R",19761104,"GER",201,1659.64372920631,80.9897153460092,0.0600227914461426
102882,"Mark","Philippoussis","R",19761107,"AUS",196,1846.96326044571,77.4350618395889,0.0601345912568968
102886,"Frantisek","Cermak","R",19761114,"CZE",193,1510.52646757396,179.752309411473,0.0599787305054379
102887,"Ramon","Delgado","R",19761114,"PAR",185,1720.94997651721,127.636305886454,0.0600130614088162
102904,"Leos","Friedl","R",19770101,"CZE",183,1599.76158402957,190.984796627781,0.0599972401993423
102905,"Stefan","Koubek","L",19770102,"AUT",175,1663.39807846882,114.562661321856,0.0600508407356814
102925,"Justin","Gimelstob","R",19770126,"USA",196,1602.38040922971,89.8691055696671,0.0598862089354239
102928,"Hee Seok","Chung","R",19770129,"KOR",NA,1793.68563052072,177.642965346602,0.0599955317709215
102950,"Fernando","Vicente","R",19770308,"ESP",180,1463.45849391514,143.130116115727,0.0598748166414986
102959,"Marko","Tkalec","R",19770317,"SLO",178,1693.12087650444,156.721271372604,0.0600014073252606
102965,"Jamie","Delgado","R",19770321,"GBR",178,1557.36775396855,132.530821866444,0.0599852473835863
102967,"Marc","Gicquel","R",19770330,"FRA",188,1609.67527700819,127.33703070046,0.0599191725292461
102969,"Sergei","Yaroshenko","R",19770406,"UKR",NA,1530.89546902813,169.641453210363,0.0599994267997714
102985,"Gustavo","Marcaccio","R",19770503,"ARG",170,1710.22611997793,185.482459048725,0.059998964675432
102987,"Andre","Sa","R",19770506,"BRA",185,1636.25941727511,145.357600342864,0.0600022997671456
102998,"Jan Michael","Gambill","R",19770603,"USA",190,1634.49553038062,109.74411780953,0.0599961525971908
102999,"Stefano","Galvani","R",19770603,"ITA",178,1532.14245713469,156.494970283608,0.0599721275131887
103007,"Mounir","El Aarej","R",19770616,"MAR",NA,1408.25795111119,145.787840852393,0.0600072302764284
103009,"Razvan","Sabau","R",19770618,"ROU",185,1543.34934762628,85.9547229679808,0.0599779843109604
103017,"Nicolas","Kiefer","R",19770705,"GER",183,1805.03888697457,94.4344454471874,0.0597968144906672
103018,"Max","Mirnyi","R",19770706,"BLR",196,1639.42402492462,93.209406519073,0.0599839827781111
103029,"Mehdi","Tahiri","R",19770728,"MAR",183,1654.24496483247,137.319400673343,0.0600114856974412
103032,"Francisco","Fogues","L",19770806,"ESP",190,1612.76960867622,202.725443090992,0.0599980622293848
103035,"Alessio","Di Mauro","L",19770809,"ITA",185,1613.07450400741,158.193268543933,0.0600051223940727
103043,"Coenie","Van Wyk","R",19770831,"RSA",NA,1662.31089499278,290.318961981936,0.0599996631637916
103050,"Shahab","Hassani Nafez","R",19770916,"IRI",NA,1416.49139451137,205.660842010667,0.0600046336354844
103053,"Nikos","Rovas","R",19770920,"GRE",NA,1543.72869941177,203.686735275176,0.0599985804268975
103063,"Sebastien","De Chaunac","R",19771007,"FRA",183,1717.45512028621,114.195549615124,0.0599931541822088
103066,"Mark","Nielsen","R",19771008,"NZL",185,1649.7152791121,166.142179922975,0.0599721093263572
103077,"Konstantinos","Economidis","R",19771102,"GRE",188,1699.67663029951,168.005286184694,0.0599925939579682
103084,"Guillermo","Canas","R",19771125,"ARG",185,1700.80225960149,77.9366375987554,0.0599730742621254
103096,"Arnaud","Clement","R",19771217,"FRA",173,1722.74016698904,97.2533922396993,0.0597851862731634
103103,"Dominik","Hrbaty","R",19780104,"SVK",183,1664.06978689602,103.187246375329,0.0597987544389967
103104,"Bjorn","Rehnquist","R",19780105,"SWE",175,1645.18871470131,157.066813323609,0.0600014024994294
103105,"Ruben","Ramirez Hidalgo","R",19780106,"ESP",183,1470.43536281929,113.849687069228,0.0599566436516697
103110,"Daniele","Bracciali","R",19780110,"ITA",180,1703.90770358408,165.62851881021,0.0600151449304511
103114,"Martin","Lee","L",19780113,"GBR",180,1572.95398739483,142.436003663095,0.0599859109237025
103145,"Amir","Hadad","R",19780217,"ISR",183,1706.87477308658,151.717711632674,0.0599898269138011
103151,"Mariano","Zabaleta","R",19780228,"ARG",183,1689.3737552117,87.3627001057164,0.0602175052446432
103153,"Gilles","Elseneer","R",19780306,"BEL",188,1671.24012151757,110.131259702585,0.0599678472665962
103157,"Arvind","Parmar","R",19780322,"GBR",193,1667.67795002559,117.552245336592,0.0599815258220136
103163,"Tommy","Haas","R",19780403,"GER",188,1672.24123480861,81.9774852986141,0.059923569987919
103166,"Vladimir","Voltchkov","R",19780407,"BLR",180,1658.26393561039,132.229336502055,0.0600354308091055
103169,"Oscar","Hernandez","R",19780410,"ESP",180,1589.83186566449,84.9862699081459,0.0599535092849173
103171,"Raemon","Sluiter","R",19780413,"NED",185,1791.1507949045,109.581792533348,0.0599565450832904
103174,"Noam","Okun","R",19780416,"ISR",185,1549.87659375742,187.865280033039,0.0599691765455484
103175,"Toshihide","Matsui","R",19780419,"JPN",178,1721.54052004821,184.702979184977,0.05999393843003
103176,"David","Sanchez","R",19780420,"ESP",183,1725.92917718151,76.4717967474451,0.0600082493043463
103181,"Jiri","Vanek","R",19780424,"CZE",185,1601.72474786141,105.068701496794,0.0598402420818106
103184,"Bob","Bryan","L",19780429,"USA",193,1742.5092200431,161.61920970186,0.0599971621724385
103188,"Michael","Russell","R",19780501,"USA",173,1638.29886182258,96.8764440827359,0.0599358799255705
103193,"Peter","Wessels","R",19780507,"NED",196,1768.10387849265,111.224540551844,0.0600247605989159
103201,"Adrian","Garcia","R",19780525,"CHI",175,1409.87542001508,130.600940203534,0.0599762840246184
