"player_id","name_first","name_last","hand","dob","ioc","height","Rating","Deviation","Volatility"
200001,"Martina","Hingis","R",19800930,"SUI",170,1775.10656404063,186.7417418203,0.0598950439942221
200002,"Mirjana","Lucic","R",19820309,"CRO",181,1847.44667131656,73.1619749631146,0.0599626857309182
200003,"Justine","Henin","R",19820601,"BEL",167,2268.14778390406,97.5126826335344,0.0600109390403198
200007,"Silvija","Talaja","R",19780114,"CRO",173,1687.6535702599,94.4218207550852,0.0599996670763904
200008,"Alicia","Molik","R",19810127,"AUS",182,1772.43181140924,92.102540564294,0.0601071992437321
200009,"Tamarine","Tanasugarn","R",19770524,"THA",165,1724.78612883531,136.880663135586,0.0600980807083999
200011,"Katarina","Srebotnik","R",19810312,"SLO",180,1806.38289981141,84.317960826397,0.0598456963630311
200014,"Tzipi","Obziler","R",19730419,"ISR",172,1702.75685457498,94.3290647518886,0.0599745474773146
200015,"Petra","Mandula","R",19780117,"HUN",178,1752.96136062417,94.698510795769,0.0599187561688822
200020,"Lisa","Raymond","R",19730810,"USA",165,1755.87857032419,85.5177010632176,0.0597540092335829
200022,"Emmanuelle","Gagliardi","R",19760709,"SUI",171,1606.74787703367,98.9810596089662,0.0599213463180072
200024,"Maria","Vento Kabchi","R",19740524,"VEN",168,1690.6637519763,82.6005079214618,0.0599083159713957
200025,"Ludmila","Cervanova","R",19791015,"SVK",171,1710.71922453727,84.1570046574493,0.0599155545812705
200027,"Magui","Serna","L",19790301,"ESP",167,1811.92608695262,83.5696870972862,0.0599610473734562
200028,"Maureen","Drake","R",19710321,"CAN",175,1644.71688282431,115.210389445097,0.0599587618032313
200031,"Meilen","Tu","R",19780117,"USA",163,1754.87950659312,76.2313551145719,0.0598881761091169
200032,"Barbara","Schett","R",19760310,"AUT",176,1820.11812445414,77.281131541407,0.0598349373792356
200033,"Serena","Williams","R",19810926,"USA",175,1929.19809444264,95.1759890189071,0.060320442705913
200035,"Maria","Sanchez Lorenzo","R",19771107,"ESP",171,1734.1802063443,78.5034973064945,0.0599549106506063
200036,"Nicole","Pratt","R",19730305,"AUS",163,1733.95343078334,85.5327261067318,0.0598374884453461
200039,"Chanda","Rubin","R",19760218,"USA",168,1810.01746751604,96.0249221192204,0.0599933665931408
200040,"Anna","Smashnova","R",19760716,"ISR",157,1801.40982175137,91.2259705204285,0.0600058137278081
200041,"Amy","Frazier","R",19720919,"USA",175,1836.70851466263,73.5332184735156,0.0600133682923582
200042,"Els","Callens","R",19700820,"BEL",178,1717.78827209443,98.930531375329,0.0599176339324163
200043,"Virginie","Razzano","R",19830512,"FRA",173,1865.9216705843,94.8635604083788,0.0600730047310227
200044,"Denisa","Chladkova","R",19790208,"CZE",174,1742.98006166694,75.6833271771933,0.059935509936756
