"","player_id","name_first","name_last","hand","dob","ioc","height"
"1",100001,"Gardnar","Mulloy","R",19131122,"USA",185
"2",100002,"Pancho","Segura","R",19210620,"ECU",168
"3",100003,"Frank","Sedgman","R",19271002,"AUS",180
"4",100004,"Giuseppe","Merlo","R",19271011,"ITA",NA
"5",100005,"Richard","Gonzalez","R",19280509,"USA",188
"6",100006,"Grant","Golden","R",19290821,"USA",175
"7",100007,"Abe","Segal","L",19301023,"RSA",NA
"8",100008,"Kurt","Nielsen","R",19301119,"DEN",NA
"9",100009,"Istvan","Gulyas","R",19311014,"HUN",NA
"10",100010,"Luis","Ayala","R",19320918,"CHI",170
"11",100011,"Torben","Ulrich","L",19281004,"DEN",180
"12",100012,"Nicola","Pietrangeli","R",19330911,"ITA",178
"13",100013,"Neale","Fraser","L",19331003,"AUS",185
"14",100014,"Trevor","Fancutt","R",19340714,"RSA",NA
"15",100015,"Sammy","Giammalva","R",19340801,"USA",180
"16",100016,"Ken","Rosewall","R",19341102,"AUS",175
"17",100017,"Mal","Anderson","R",19350303,"AUS",NA
"18",100018,"Barry","Mackay","R",19350831,"USA",190
"19",100019,"Wieslaw","Gasiorek","R",19360113,"POL",NA
"20",100020,"Alejandro","Olmedo","R",19360324,"PER",178
"21",100021,"Ashley","Cooper","R",19360915,"AUS",178
"22",100022,"Roy","Emerson","R",19361103,"AUS",183
"23",100023,"Ramanathan","Krishnan","R",19370411,"IND",NA
"24",100024,"Jan Erik","Lundquist","R",19370414,"SWE",191
"25",100025,"Barry","Phillips Moore","R",19370709,"AUS",173
"26",100026,"Andres","Gimeno","R",19370803,"ESP",185
"27",100027,"Gene","Scott","R",19371228,"USA",185
"28",100028,"Manuel","Santana","R",19380510,"ESP",170
"29",100029,"Rod","Laver","L",19380809,"AUS",173
"30",100030,"Fred","Stolle","R",19381008,"AUS",190
"31",100031,"Dimitri","Sturdza","R",19381110,"SUI",NA
"32",100032,"Patricio","Rodriguez Chi","R",19381220,"CHI",188
"33",100033,"Wilhelm","Bungert","R",19390401,"GER",188
"34",100034,"Christian","Kuhnke","L",19390413,"GER",NA
"35",100035,"Ion","Tiriac","R",19390509,"ROU",185
"36",100036,"Rudy","Hernando","R",19390610,"USA",NA
"37",100037,"Nikola","Pilic","L",19390827,"CRO",191
"38",100038,"Jaime","Pinto Bravo","R",19391009,"CHI",178
"39",100039,"Boro","Jovanovic","R",19391021,"CRO",NA
"40",100040,"Bob","Hewitt","R",19400112,"RSA",190
"41",100041,"Ned","Neely","R",19400114,"USA",NA
"42",100042,"Ryoichi","Mori","R",19400114,"JPN",NA
"43",100043,"Zdenek","Slizek","R",19400219,"CZE",NA
"44",100044,"Sergei","Likhachev","R",19400320,"RUS",NA
"45",100045,"John","Paish","L",19400323,"GBR",NA
