"","player_id","name_first","name_last","hand","dob","ioc","height"
"1",100644,"Alexander","Zverev","R",19970420,"GER",198
"465",101736,"Andre","Agassi","R",19700429,"USA",180
"513",101868,"Dick","Norman","L",19710301,"BEL",203
"523",101885,"Wayne","Arthurs","L",19710318,"AUS",190
"552",101889,"Todd","Woodbridge","R",19710402,"AUS",178
"553",101962,"Younes","El Aynaoui","R",19710912,"MAR",193
"568",101979,"Ricardo","Mena","R",19711022,"PAR",NA
"569",102033,"Abdelhak","Hameurlaine","R",19720319,"ALG",NA
"570",102035,"Jonas","Bjorkman","R",19720323,"SWE",183
"629",102093,"Martin","Damm","L",20030930,"USA",203
"631",102106,"Davide","Sanguinetti","R",19720825,"ITA",188
"672",102107,"Jan Frode","Andersen","L",19720829,"NOR",190
"677",102143,"Nicolas","Thomann","R",19721129,"FRA",183
"678",102148,"Fabrice","Santoro","R",19721209,"FRA",178
"772",102179,"Antony","Dupuis","R",19730224,"FRA",185
"785",102202,"Kenneth","Carlsen","L",19730417,"DEN",190
"818",102227,"Sargis","Sargsian","R",19730603,"ARM",180
"821",102231,"Alex","Calatrava","R",19730614,"ESP",190
"827",102233,"Leander","Paes","R",19730617,"IND",178
"830",102257,"Greg","Rusedski","L",19730906,"GBR",193
"867",102269,"Jeff","Salzenstein","L",19731014,"USA",185
"869",102286,"Wayne","Black","R",19731114,"ZIM",170
"870",102287,"Albert","Portas","R",19731115,"ESP",188
"882",102300,"Gouichi","Motomura","R",19731225,"JPN",173
"885",102306,"Michael","Kohlmann","R",19740111,"GER",188
"887",102318,"Andrei","Pavel","R",19740127,"ROU",183
"939",102344,"Karol","Kucera","R",19740304,"SVK",188
"943",102358,"Thomas","Enqvist","R",19740313,"SWE",190
"950",102374,"Alex","Corretja","R",19740411,"ESP",180
"951",102381,"Werner","Eschauer","R",19740426,"AUT",188
"959",102434,"Vincent","Spadea","R",19740719,"USA",183
"1039",102450,"Tim","Henman","R",19740906,"GBR",185
"1100",102456,"Felix","Mantilla","R",19740923,"ESP",180
"1115",102494,"Tomas","Behrend","R",19741212,"GER",193
"1126",102512,"Joseph","Sirianni","R",19750117,"AUS",175
"1132",102538,"Tuomas","Ketola","R",19750221,"FIN",185
"1134",102539,"Bohdan","Ulihrach","R",19750223,"CZE",188
"1136",102548,"Juan Antonio","Marin","R",19750302,"CRC",175
"1143",102558,"Eric","Taino","L",19750318,"PHI",175
"1147",102562,"Jiri","Novak","R",19750322,"CZE",190
"1182",102563,"Thomas","Johansson","R",19750324,"SWE",180
"1285",102565,"Alexander","Waske","R",19750331,"GER",188
"1305",102567,"George","Bastl","R",19750401,"SUI",183
"1318",102571,"Gregory","Carraz","R",19750409,"FRA",190
"1322",102610,"Albert","Costa","R",19750625,"ESP",180
"1337",102615,"Dennis","Van Scheppingen","R",19750705,"NED",185
"1338",102630,"Slimane","Saoudi","L",19750723,"ALG",NA
"1345",102642,"Cyril","Saulnier","R",19750816,"FRA",190
"1366",102667,"Satoshi","Iwabuchi","L",19751007,"JPN",175
"1369",102694,"Lars","Burgsmuller","R",19751206,"GER",183
"1379",102696,"Guillaume","Couillard","R",19751210,"MON",NA
"1382",102703,"Hyung Taik","Lee","R",19760103,"KOR",180
"1456",102720,"Tomas","Zib","R",19760131,"CZE",178
"1483",102730,"Ivo","Heuberger","R",19760219,"SUI",188
"1485",102737,"Gergely","Kisgyorgy","R",19760308,"HUN",NA
"1486",102780,"Frederic","Niemeyer","R",19760424,"CAN",190
"1491",102783,"Rainer","Schuettler","R",19760425,"GER",180
"1582",102785,"Glenn","Weiner","R",19760427,"USA",188
"1584",102788,"Jan","Vacek","R",19760510,"CZE",198
"1588",102800,"Nenad","Zimonjic","R",19760604,"SRB",190
"1589",102811,"Dusan","Vemic","R",19760617,"SRB",190
"1597",102821,"Cecil","Mamiit","R",19760627,"PHI",173
"1610",102834,"Paul","Goldstein","R",19760804,"USA",178
"1648",102839,"Nicolas","Lapentti","R",19760813,"ECU",188
"1709",102843,"Suwandi","Suwandi","R",19760821,"INA",178
"1711",102845,"Carlos","Moya","R",19760827,"ESP",190
"1847",102851,"Giorgio","Galimberti","R",19760905,"ITA",180
"1849",102854,"Sjeng","Schalken","R",19760908,"NED",193
"1858",102856,"Gustavo","Kuerten","R",19760910,"BRA",190
"1866",102860,"Agustin","Calleri","R",19760914,"ARG",183
"1968",102863,"Takao","Suzuki","R",19760920,"JPN",175
"1982",102869,"Galo","Blanco","R",19761008,"ESP",173
"1983",102880,"Alexander","Popp","R",19761104,"GER",201
"1987",102882,"Mark","Philippoussis","R",19761107,"AUS",196
"2007",102886,"Frantisek","Cermak","R",19761114,"CZE",193
"2010",102887,"Ramon","Delgado","R",19761114,"PAR",185
"2032",102904,"Leos","Friedl","R",19770101,"CZE",183
"2034",102905,"Stefan","Koubek","L",19770102,"AUT",175
"2094",102925,"Justin","Gimelstob","R",19770126,"USA",196
"2117",102928,"Hee Seok","Chung","R",19770129,"KOR",NA
"2118",102950,"Fernando","Vicente","R",19770308,"ESP",180
"2126",102959,"Marko","Tkalec","R",19770317,"SLO",178
"2132",102965,"Jamie","Delgado","R",19770321,"GBR",178
"2134",102967,"Marc","Gicquel","R",19770330,"FRA",188
"2224",102969,"Sergei","Yaroshenko","R",19770406,"UKR",NA
"2225",102985,"Gustavo","Marcaccio","R",19770503,"ARG",170
"2227",102987,"Andre","Sa","R",19770506,"BRA",185
"2230",102998,"Jan Michael","Gambill","R",19770603,"USA",190
"2236",102999,"Stefano","Galvani","R",19770603,"ITA",178
"2245",103007,"Mounir","El Aarej","R",19770616,"MAR",NA
"2248",103009,"Razvan","Sabau","R",19770618,"ROU",185
"2257",103017,"Nicolas","Kiefer","R",19770705,"GER",183
"2363",103018,"Max","Mirnyi","R",19770706,"BLR",196
"2431",103029,"Mehdi","Tahiri","R",19770728,"MAR",183
"2437",103032,"Francisco","Fogues","L",19770806,"ESP",190
"2438",103035,"Alessio","Di Mauro","L",19770809,"ITA",185
"2454",103043,"Coenie","Van Wyk","R",19770831,"RSA",NA
"2455",103050,"Shahab","Hassani Nafez","R",19770916,"IRI",NA
"2456",103053,"Nikos","Rovas","R",19770920,"GRE",NA
"2457",103063,"Sebastien","De Chaunac","R",19771007,"FRA",183
"2464",103066,"Mark","Nielsen","R",19771008,"NZL",185
"2469",103077,"Konstantinos","Economidis","R",19771102,"GRE",188
"2478",103084,"Guillermo","Canas","R",19771125,"ARG",185
"2569",103096,"Arnaud","Clement","R",19771217,"FRA",173
"2687",103103,"Dominik","Hrbaty","R",19780104,"SVK",183
"2781",103104,"Bjorn","Rehnquist","R",19780105,"SWE",175
"2784",103105,"Ruben","Ramirez Hidalgo","R",19780106,"ESP",183
"2839",103110,"Daniele","Bracciali","R",19780110,"ITA",180
"2871",103114,"Martin","Lee","L",19780113,"GBR",180
"2872",103145,"Amir","Hadad","R",19780217,"ISR",183
"2874",103151,"Mariano","Zabaleta","R",19780228,"ARG",183
"2907",103153,"Gilles","Elseneer","R",19780306,"BEL",188
"2909",103157,"Arvind","Parmar","R",19780322,"GBR",193
"2912",103163,"Tommy","Haas","R",19780403,"GER",188
"3192",103166,"Vladimir","Voltchkov","R",19780407,"BLR",180
"3196",103169,"Oscar","Hernandez","R",19780410,"ESP",180
"3249",103171,"Raemon","Sluiter","R",19780413,"NED",185
"3270",103174,"Noam","Okun","R",19780416,"ISR",185
"3282",103175,"Toshihide","Matsui","R",19780419,"JPN",178
"3286",103176,"David","Sanchez","R",19780420,"ESP",183
"3295",103181,"Jiri","Vanek","R",19780424,"CZE",185
"3326",103184,"Bob","Bryan","L",19780429,"USA",193
"3330",103188,"Michael","Russell","R",19780501,"USA",173
"3392",103193,"Peter","Wessels","R",19780507,"NED",196
"3406",103201,"Adrian","Garcia","R",19780525,"CHI",175
"3408",103204,"Hugo","Armando","R",19780527,"USA",183
"3413",103205,"Emilio Daniel","Baez Britez","R",19780528,"PAR",NA
"3415",103206,"Sebastien","Grosjean","R",19780529,"FRA",175
"3502",103226,"Walid","Jallali","R",19780630,"TUN",NA
"3503",103228,"Marcos","Daniel","R",19780704,"BRA",180
"3526",103229,"Kornel","Bardoczky","R",19780705,"HUN",NA
"3534",103238,"Jean Claude","Scherrer","R",19780720,"SUI",188
"3535",103240,"Kevin","Kim","R",19780726,"USA",180
"3572",103248,"Harel","Levy","R",19780805,"ISR",185
"3578",103252,"Alberto","Martin","R",19780820,"ESP",175
"3640",103254,"Yves","Allegro","R",19780824,"SUI",183
"3642",103264,"Mariano","Puerta","L",19780919,"ARG",180
"3679",103285,"Radek","Stepanek","R",19781127,"CZE",185
"3989",103286,"Yohny","Romero","R",19781130,"VEN",NA
"3994",103292,"Gaston","Gaudio","R",19781209,"ARG",175
"4083",103294,"Christophe","Rochus","R",19781215,"BEL",170
"4139",103296,"Ivaylo","Traykov","R",19781217,"BUL",188
"4141",103305,"Daniel","Elsner","R",19790104,"GER",183
"4142",103316,"Victor","Romero","R",19790126,"MEX",NA
"4143",103319,"Jeff","Morrison","R",19790204,"USA",185
"4149",103325,"Wesley","Moodie","R",19790214,"RSA",196
"4186",103333,"Ivo","Karlovic","R",19790228,"CRO",208
"4529",103339,"Wesley","Whitehouse","L",19790313,"RSA",190
"4532",103344,"Ivan","Ljubicic","R",19790319,"CRO",193
"4800",103369,"Melle","Van Gemerden","R",19790509,"NED",183
"4803",103373,"Sergio","Roitman","R",19790516,"ARG",185
"4826",103387,"Paradorn","Srichaphan","R",19790614,"THA",185
"4892",103393,"Yuri","Schukin","R",19790626,"KAZ",188
"4905",103395,"Julio","Silva","R",19790701,"BRA",173
"4906",103401,"Jan","Hernych","R",19790707,"CZE",190
"4976",103403,"Takahiro","Terachi","R",19790708,"JPN",NA
"4977",103408,"Brian","Vahaly","R",19790719,"USA",183
"4979",103413,"Genius","Chidzikwe","R",19790803,"ZIM",NA
"4980",103420,"Michal","Tabara","R",19790811,"CZE",175
"4984",103424,"Tobias","Clemens","R",19790814,"GER",185
"4986",103427,"Yew Ming","Si","U",19790824,"MAS",NA
"4990",103428,"Juan Ignacio","Chela","R",19790830,"ARG",190
"5176",103429,"Peter","Luczak","R",19790831,"AUS",183
"5210",103435,"Massimo","Dellacqua","R",19790906,"ITA",193
"5211",103444,"Jean Rene","Lisnard","R",19790925,"MON",173
"5235",103448,"Gabriel","Trujillo Soler","R",19790930,"ESP",NA
"5236",103451,"Bjorn","Phau","R",19791004,"GER",175
"5304",103454,"Nicolas","Massu","R",19791010,"CHI",183
"5400",103455,"Michal","Mertinak","R",19791011,"SVK",180
"5408",103468,"Harsh","Mankad","R",19791110,"IND",173
"5411",103470,"Robert","Kendrick","R",19791115,"USA",190
"5436",103472,"Karim","Maamoun","R",19791118,"EGY",NA
"5441",103484,"James","Blake","R",19791228,"USA",185
"5714",103487,"Federico","Luzzi","R",19800103,"ITA",188
"5720",103490,"Santiago","Ventura","R",19800105,"ESP",183
"5750",103498,"Marat","Safin","R",19800127,"RUS",193
"5880",103499,"Aqeel","Khan","R",19800130,"PAK",NA
"5905",103503,"Robin","Vik","R",19800205,"CZE",183
"5925",103504,"Febi","Widhiyanto","R",19800209,"INA",NA
"5927",103505,"Vasilis","Mazarakis","R",19800209,"GRE",178
"5929",103506,"Martin","Vassallo Arguello","R",19800210,"ARG",183
"5973",103507,"Juan Carlos","Ferrero","R",19800212,"ESP",183
"6195",103510,"Rob","Steckley","R",19800216,"CAN",NA
