"","player_id","name_first","name_last","hand","dob","ioc","height"
"1",200001,"Martina","Hingis","R",19800930,"SUI",170
"74",200002,"Mirjana","Lucic","R",19820309,"CRO",181
"168",200003,"Justine","Henin","R",19820601,"BEL",167
"377",200007,"Silvija","Talaja","R",19780114,"CRO",173
"379",200008,"Alicia","Molik","R",19810127,"AUS",182
"433",200009,"Tamarine","Tanasugarn","R",19770524,"THA",165
"523",200011,"Katarina","Srebotnik","R",19810312,"SLO",180
"663",200014,"Tzipi","Obziler","R",19730419,"ISR",172
"698",200015,"Petra","Mandula","R",19780117,"HUN",178
"699",200020,"Lisa","Raymond","R",19730810,"USA",165
"722",200022,"Emmanuelle","Gagliardi","R",19760709,"SUI",171
"745",200024,"Maria","Vento Kabchi","R",19740524,"VEN",168
"763",200025,"Ludmila","Cervanova","R",19791015,"SVK",171
"773",200027,"Magui","Serna","L",19790301,"ESP",167
"775",200028,"Maureen","Drake","R",19710321,"CAN",175
"776",200031,"Meilen","Tu","R",19780117,"USA",163
"808",200032,"Barbara","Schett","R",19760310,"AUT",176
"809",200033,"Serena","Williams","R",19810926,"USA",175
"1381",200035,"Maria","Sanchez Lorenzo","R",19771107,"ESP",171
"1400",200036,"Nicole","Pratt","R",19730305,"AUS",163
"1429",200039,"Chanda","Rubin","R",19760218,"USA",168
"1431",200040,"Anna","Smashnova","R",19760716,"ISR",157
"1475",200041,"Amy","Frazier","R",19720919,"USA",175
"1503",200042,"Els","Callens","R",19700820,"BEL",178
"1504",200043,"Virginie","Razzano","R",19830512,"FRA",173
"1668",200044,"Denisa","Chladkova","R",19790208,"CZE",174
"1675",200046,"Meghann","Shaughnessy","R",19790413,"USA",180
"1738",200048,"Elena","Likhovtseva","R",19750908,"RUS",174
"1797",200049,"Conchita","Martinez","R",19720416,"ESP",170
"1826",200055,"Mariana","Diaz Oliva","R",19760311,"ARG",172
"1856",200056,"Jelena","Kostanic Tosic","L",19810706,"CRO",168
"1901",200060,"Tathiana","Garbin","R",19770630,"ITA",172
"1987",200062,"Kristina","Brandi","R",19770329,"PUR",168
"2010",200063,"Tatiana","Panova","R",19760813,"RUS",154
"2018",200065,"Amelie","Mauresmo","R",19790705,"FRA",175
"2212",200067,"Patty","Schnyder","L",19781214,"SUI",168
"2462",200068,"Lilia","Osterloh","R",19780407,"USA",170
"2484",200069,"Nadia","Petrova","R",19820608,"RUS",178
"2810",200072,"Cara","Black","R",19790217,"ZIM",167
"2813",200079,"Kim","Clijsters","R",19830608,"BEL",175
"3035",200083,"Alexandra","Stevenson","R",19801215,"USA",185
"3037",200085,"Ai","Sugiyama","R",19750705,"JPN",163
"3148",200086,"Magdalena","Maleeva","R",19750401,"BUL",168
"3169",200090,"Anca","Barna","L",19770514,"GER",175
"3173",200096,"Mary","Pierce","R",19750115,"FRA",178
"3225",200098,"Henrieta","Nagyova","R",19781215,"SVK",177
"3230",200103,"Evie","Dominikovic","R",19800529,"AUS",173
"3236",200104,"Emilie","Loit","L",19790609,"FRA",167
