"surface","tourney_level","tourney_date","winner1_id","winner2_id","winner_seed","winner_entry","loser1_id","loser2_id","loser_seed","loser_entry","score","round","winner1_hand","winner2_hand","loser1_hand","loser2_hand","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"Hard","A",20000110,101704,101097,1,"",101358,101543,2,"","7-5 6-4","F","L","L","R","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101704,101097,1,"",102562,101866,3,"","6-2 6-4","SF","L","L","R","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101358,101543,2,"",102664,101779,NA,"","6-3 6-4","SF","R","L","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101704,101097,1,"",101342,102162,NA,"WC","6-3 6-4","QF","L","L","L","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,102562,101866,3,"",102057,102042,NA,"","7-6 RET","QF","R","L","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,102664,101779,NA,"",101565,101904,NA,"","3-6 6-4 7-6","QF","R","R","R","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101704,101097,1,"",101639,102430,NA,"","6-4 6-3","R16","L","L","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101358,101543,2,"",102131,102854,NA,"WC","6-3 7-6","R16","R","L","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,102562,101866,3,"",102984,103264,NA,"","6-2 4-6 6-3","R16","R","L","R","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101565,101904,NA,"",102998,102795,4,"","6-4 6-3","R16","R","L","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,102057,102042,NA,"",103252,102092,NA,"","6-4 3-6 7-6","R16","R","R","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hard","A",20000110,101342,102162,NA,"WC",102035,102536,NA,"","6-4 6-1","R16","L","R","R","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
