"","player_id","year","matches_won","total_matches"
"1",100581,"1994",0,1
"2",100581,"1991",34,52
"3",100581,"1990",33,48
"4",100581,"1987",34,46
"5",100581,"1992",32,50
"6",100581,"1982",72,83
"7",100581,"1984",82,85
"8",100581,"1980",86,104
"9",100581,"1988",30,40
"10",100581,"1981",74,85
"11",100581,"1977",28,42
"12",100581,"1989",47,58
"13",100581,"1983",63,75
"14",100581,"1976",1,2
"15",100581,"1986",22,28
"16",100581,"1985",75,84
"17",100581,"1979",99,111
"18",100581,"1978",74,93
"19",100644,"2023",55,82
"20",100644,"2017",57,79
"21",100644,"2020",28,39
"22",100644,"2022",29,40
"23",100644,"2019",44,69
"24",100644,"2018",60,79
"25",100644,"2014",4,10
"26",100644,"2024",69,90
"27",100644,"2021",60,75
"28",100644,"2016",44,68
"29",100644,"2013",0,1
"30",100644,"2015",14,31
"31",100757,"1983",38,59
"32",100757,"1994",12,24
"33",100757,"1980",1,2
"34",100757,"1993",15,33
"35",100757,"1995",13,30
"36",100757,"1992",11,28
"37",100757,"1981",11,23
"38",100757,"1989",23,38
"39",100757,"1986",34,50
"40",100757,"1990",14,27
"41",100757,"1984",48,67
"42",100757,"1988",29,44
"43",100757,"1996",1,9
"44",100757,"1987",43,63
"45",100757,"1982",23,38
"46",100757,"1985",55,76
"47",100757,"1991",26,47
"48",101022,"1988",2,11
"49",101022,"1986",5,11
"50",101022,"1992",1,3
"51",101022,"1984",1,2
"52",101022,"1991",1,7
"53",101022,"1994",0,1
"54",101022,"1989",10,18
"55",101022,"1990",13,35
"56",101022,"1987",9,31
"57",101022,"1995",0,1
"58",101022,"1993",7,13
"59",101097,"1989",4,12
"60",101097,"1987",5,17
"61",101097,"1988",6,17
"62",101097,"1986",0,4
"63",101097,"1994",1,3
"64",101097,"1991",0,8
"65",101097,"1993",1,2
"66",101097,"1990",3,10
"67",101097,"1992",0,3
"68",101097,"1985",1,3
"69",101138,"1983",33,56
"70",101138,"1982",17,27
"71",101138,"1995",5,12
"72",101138,"1989",4,8
"73",101138,"1996",0,3
"74",101138,"1987",46,63
"75",101138,"1981",2,7
"76",101138,"1986",24,35
"77",101138,"1997",2,9
"78",101138,"1985",12,21
"79",101138,"1984",29,46
"80",101138,"1988",25,34
"81",101138,"1992",5,9
"82",101138,"1990",20,30
"83",101138,"1991",14,25
"84",101138,"1994",0,2
"85",101180,"1986",2,4
"86",101180,"1988",1,3
"87",101180,"1985",1,2
"88",101180,"1989",2,6
"89",101180,"1990",0,2
"90",101235,"1988",0,1
"91",101235,"1998",21,41
"92",101235,"1990",22,49
"93",101235,"1995",34,59
"94",101235,"1989",9,16
"95",101235,"1993",33,60
"96",101235,"1999",6,22
"97",101235,"1992",33,63
"98",101235,"1994",28,50
"99",101235,"1991",29,55
"100",101235,"1996",31,61
"101",101235,"1997",21,48
"102",101235,"2000",1,1
"103",101263,"1995",3,10
"104",101263,"1998",0,1
"105",101263,"1997",2,7
"106",101263,"1987",0,2
"107",101263,"1990",0,4
"108",101263,"1985",1,3
